Running query: recursive_function_calls.ql on database /home/till/thesis/hantro-db...
|    scope    |                  caller_func                   |                  called_func                   |             file             |
+-------------+------------------------------------------------+------------------------------------------------+------------------------------+
| 1_Driver    | vidioc_s_fmt_out_mplane                        | fh_to_ctx                                      | hantro.h                     |
| 1_Driver    | v4l_querycap                                   | vidioc_querycap                                | hantro_v4l2.c                |
| 1_Driver    | v4l_enum_fmt                                   | vidioc_enum_fmt_vid_cap                        | hantro_v4l2.c                |
| 1_Driver    | v4l_enum_fmt                                   | vidioc_enum_fmt_vid_out                        | hantro_v4l2.c                |
| 1_Driver    | v4l_g_fmt                                      | vidioc_g_fmt_out_mplane                        | hantro_v4l2.c                |
| 1_Driver    | v4l_g_fmt                                      | vidioc_g_fmt_cap_mplane                        | hantro_v4l2.c                |
| 1_Driver    | v4l_s_fmt                                      | vidioc_s_fmt_out_mplane                        | hantro_v4l2.c                |
| 1_Driver    | v4l_s_fmt                                      | vidioc_s_fmt_cap_mplane                        | hantro_v4l2.c                |
| 1_Driver    | v4l_stub_enum_framesizes                       | vidioc_enum_framesizes                         | hantro_v4l2.c                |
| 1_Driver    | try_or_set_cluster                             | hantro_try_ctrl                                | hantro_drv.c                 |
| 1_Driver    | try_or_set_cluster                             | hantro_av1_s_ctrl                              | hantro_drv.c                 |
| 1_Driver    | rockchip_vpu981_get_order_hint                 | rockchip_vpu981_get_frame_index                | rockchip_vpu981_hw_av1_dec.c |
| 1_Driver    | rockchip_vpu981_av1_dec_frame_ref              | hantro_get_dst_buf                             | hantro.h                     |
| 1_Driver    | rockchip_vpu981_av1_dec_clean_refs             | rockchip_vpu981_av1_dec_frame_unref            | rockchip_vpu981_hw_av1_dec.c |
| 1_Driver    | rockchip_vpu981_av1_dec_chroma_size            | rockchip_vpu981_av1_dec_luma_size              | rockchip_vpu981_hw_av1_dec.c |
| 1_Driver    | rockchip_vpu981_av1_dec_tiles_reallocate       | rockchip_vpu981_av1_dec_tiles_free             | rockchip_vpu981_hw_av1_dec.c |
| 1_Driver    | rockchip_vpu981_av1_dec_prepare_run            | rockchip_vpu981_av1_dec_tiles_reallocate       | rockchip_vpu981_hw_av1_dec.c |
| 1_Driver    | rockchip_vpu981_av1_dec_prepare_run            | hantro_get_ctrl                                | hantro_drv.c                 |
| 1_Driver    | rockchip_vpu981_av1_dec_resolve_divisor_32     | rockchip_vpu981_av1_dec_get_msb                | rockchip_vpu981_hw_av1_dec.c |
| 1_Driver    | rockchip_vpu981_av1_dec_get_shear_params       | rockchip_vpu981_av1_dec_resolve_divisor_32     | rockchip_vpu981_hw_av1_dec.c |
| 1_Driver    | rockchip_vpu981_av1_dec_set_global_model       | rockchip_vpu981_av1_dec_get_shear_params       | rockchip_vpu981_hw_av1_dec.c |
| 1_Driver    | rockchip_vpu981_av1_dec_set_global_model       | hantro_write_addr                              | hantro.h                     |
| 1_Driver    | rockchip_vpu981_av1_dec_set_tile_info          | rockchip_vpu981_av1_tile_log2                  | rockchip_vpu981_hw_av1_dec.c |
| 1_Driver    | rockchip_vpu981_av1_dec_set_tile_info          | hantro_write_addr                              | hantro.h                     |
| 1_Driver    | rockchip_vpu981_av1_dec_set_tile_info          | hantro_reg_write                               | hantro.h                     |
| 1_Driver    | rockchip_vpu981_av1_dec_set_frame_sign_bias    | rockchip_vpu981_get_frame_index                | rockchip_vpu981_hw_av1_dec.c |
| 1_Driver    | rockchip_vpu981_av1_dec_set_frame_sign_bias    | rockchip_vpu981_get_order_hint                 | rockchip_vpu981_hw_av1_dec.c |
| 1_Driver    | rockchip_vpu981_av1_dec_set_frame_sign_bias    | rockchip_vpu981_av1_dec_get_dist               | rockchip_vpu981_hw_av1_dec.c |
| 1_Driver    | rockchip_vpu981_av1_dec_set_ref                | rockchip_vpu981_av1_dec_luma_size              | rockchip_vpu981_hw_av1_dec.c |
| 1_Driver    | rockchip_vpu981_av1_dec_set_ref                | rockchip_vpu981_av1_dec_chroma_size            | rockchip_vpu981_hw_av1_dec.c |
| 1_Driver    | rockchip_vpu981_av1_dec_set_ref                | hantro_write_addr                              | hantro.h                     |
| 1_Driver    | rockchip_vpu981_av1_dec_set_ref                | hantro_reg_write                               | hantro.h                     |
| 1_Driver    | rockchip_vpu981_av1_dec_set_ref                | hantro_get_dec_buf_addr                        | hantro.h                     |
| 1_Driver    | rockchip_vpu981_av1_dec_set_ref                | vb2_to_hantro_decoded_buf                      | hantro.h                     |
| 1_Driver    | rockchip_vpu981_av1_dec_set_sign_bias          | hantro_reg_write                               | hantro.h                     |
| 1_Driver    | rockchip_vpu981_av1_dec_set_segmentation       | rockchip_vpu981_get_frame_index                | rockchip_vpu981_hw_av1_dec.c |
| 1_Driver    | rockchip_vpu981_av1_dec_set_segmentation       | rockchip_vpu981_av1_dec_chroma_size            | rockchip_vpu981_hw_av1_dec.c |
| 1_Driver    | rockchip_vpu981_av1_dec_set_segmentation       | hantro_write_addr                              | hantro.h                     |
| 1_Driver    | rockchip_vpu981_av1_dec_set_segmentation       | hantro_reg_write                               | hantro.h                     |
| 1_Driver    | rockchip_vpu981_av1_dec_set_segmentation       | hantro_get_dec_buf_addr                        | hantro.h                     |
| 1_Driver    | rockchip_vpu981_av1_dec_set_segmentation       | vb2_to_hantro_decoded_buf                      | hantro.h                     |
| 1_Driver    | rockchip_vpu981_av1_dec_set_loopfilter         | rockchip_vpu981_av1_dec_is_lossless            | rockchip_vpu981_hw_av1_dec.c |
| 1_Driver    | rockchip_vpu981_av1_dec_set_loopfilter         | hantro_write_addr                              | hantro.h                     |
| 1_Driver    | rockchip_vpu981_av1_dec_set_loopfilter         | hantro_reg_write                               | hantro.h                     |
| 1_Driver    | rockchip_vpu981_av1_dec_update_prob            | rockchip_av1_store_cdfs                        | rockchip_av1_entropymode.c   |
| 1_Driver    | rockchip_vpu981_av1_dec_update_prob            | rockchip_av1_get_cdfs                          | rockchip_av1_entropymode.c   |
| 1_Driver    | rockchip_vpu981_av1_dec_set_prob               | hantro_write_addr                              | hantro.h                     |
| 1_Driver    | rockchip_vpu981_av1_dec_set_prob               | rockchip_av1_store_cdfs                        | rockchip_av1_entropymode.c   |
| 1_Driver    | rockchip_vpu981_av1_dec_set_prob               | rockchip_av1_get_cdfs                          | rockchip_av1_entropymode.c   |
| 1_Driver    | rockchip_vpu981_av1_dec_set_prob               | rockchip_av1_default_coeff_probs               | rockchip_av1_entropymode.c   |
| 1_Driver    | rockchip_vpu981_av1_dec_set_fgs                | rockchip_vpu981_av1_dec_init_scaling_function  | rockchip_vpu981_hw_av1_dec.c |
| 1_Driver    | rockchip_vpu981_av1_dec_set_fgs                | hantro_write_addr                              | hantro.h                     |
| 1_Driver    | rockchip_vpu981_av1_dec_set_fgs                | hantro_reg_write                               | hantro.h                     |
| 1_Driver    | rockchip_vpu981_av1_dec_set_fgs                | rockchip_av1_generate_luma_grain_block         | rockchip_av1_filmgrain.c     |
| 1_Driver    | rockchip_vpu981_av1_dec_set_fgs                | rockchip_av1_generate_chroma_grain_block       | rockchip_av1_filmgrain.c     |
| 1_Driver    | rockchip_vpu981_av1_dec_set_cdef               | hantro_write_addr                              | hantro.h                     |
| 1_Driver    | rockchip_vpu981_av1_dec_set_cdef               | hantro_reg_write                               | hantro.h                     |
| 1_Driver    | rockchip_vpu981_av1_dec_set_lr                 | hantro_write_addr                              | hantro.h                     |
| 1_Driver    | rockchip_vpu981_av1_dec_set_lr                 | hantro_reg_write                               | hantro.h                     |
| 1_Driver    | rockchip_vpu981_av1_dec_set_superres_params    | hantro_write_addr                              | hantro.h                     |
| 1_Driver    | rockchip_vpu981_av1_dec_set_superres_params    | hantro_reg_write                               | hantro.h                     |
| 1_Driver    | rockchip_vpu981_av1_dec_set_picture_dimensions | rockchip_vpu981_av1_dec_set_superres_params    | rockchip_vpu981_hw_av1_dec.c |
| 1_Driver    | rockchip_vpu981_av1_dec_set_picture_dimensions | hantro_reg_write                               | hantro.h                     |
| 1_Driver    | rockchip_vpu981_av1_dec_set_other_frames       | rockchip_vpu981_get_frame_index                | rockchip_vpu981_hw_av1_dec.c |
| 1_Driver    | rockchip_vpu981_av1_dec_set_other_frames       | rockchip_vpu981_get_order_hint                 | rockchip_vpu981_hw_av1_dec.c |
| 1_Driver    | rockchip_vpu981_av1_dec_set_other_frames       | rockchip_vpu981_av1_dec_get_dist               | rockchip_vpu981_hw_av1_dec.c |
| 1_Driver    | rockchip_vpu981_av1_dec_set_other_frames       | hantro_reg_write                               | hantro.h                     |
| 1_Driver    | rockchip_vpu981_av1_dec_set_reference_frames   | rockchip_vpu981_get_frame_index                | rockchip_vpu981_hw_av1_dec.c |
| 1_Driver    | rockchip_vpu981_av1_dec_set_reference_frames   | rockchip_vpu981_av1_dec_set_frame_sign_bias    | rockchip_vpu981_hw_av1_dec.c |
| 1_Driver    | rockchip_vpu981_av1_dec_set_reference_frames   | rockchip_vpu981_av1_dec_set_ref                | rockchip_vpu981_hw_av1_dec.c |
| 1_Driver    | rockchip_vpu981_av1_dec_set_reference_frames   | rockchip_vpu981_av1_dec_set_sign_bias          | rockchip_vpu981_hw_av1_dec.c |
| 1_Driver    | rockchip_vpu981_av1_dec_set_reference_frames   | rockchip_vpu981_av1_dec_set_other_frames       | rockchip_vpu981_hw_av1_dec.c |
| 1_Driver    | rockchip_vpu981_av1_dec_set_reference_frames   | hantro_reg_write                               | hantro.h                     |
| 1_Driver    | rockchip_vpu981_av1_dec_set_parameters         | rockchip_vpu981_av1_dec_is_lossless            | rockchip_vpu981_hw_av1_dec.c |
| 1_Driver    | rockchip_vpu981_av1_dec_set_parameters         | hantro_write_addr                              | hantro.h                     |
| 1_Driver    | rockchip_vpu981_av1_dec_set_parameters         | hantro_reg_write                               | hantro.h                     |
| 1_Driver    | rockchip_vpu981_av1_dec_set_input_buffer       | hantro_write_addr                              | hantro.h                     |
| 1_Driver    | rockchip_vpu981_av1_dec_set_input_buffer       | hantro_reg_write                               | hantro.h                     |
| 1_Driver    | rockchip_vpu981_av1_dec_set_output_buffer      | rockchip_vpu981_av1_dec_luma_size              | rockchip_vpu981_hw_av1_dec.c |
| 1_Driver    | rockchip_vpu981_av1_dec_set_output_buffer      | rockchip_vpu981_av1_dec_chroma_size            | rockchip_vpu981_hw_av1_dec.c |
| 1_Driver    | rockchip_vpu981_av1_dec_set_output_buffer      | hantro_write_addr                              | hantro.h                     |
| 1_Driver    | rockchip_vpu981_av1_dec_set_output_buffer      | hantro_get_dec_buf_addr                        | hantro.h                     |
| 1_Driver    | rockchip_vpu981_av1_dec_set_output_buffer      | vb2_to_hantro_decoded_buf                      | hantro.h                     |
| 1_Driver    | rockchip_vpu981_postproc_enable                | hantro_write_addr                              | hantro.h                     |
| 1_Driver    | rockchip_vpu981_postproc_enable                | hantro_reg_write                               | hantro.h                     |
| 1_Driver    | rockchip_vpu981_postproc_enable                | hantro_get_dst_buf                             | hantro.h                     |
| 1_Driver    | rockchip_vpu981_postproc_disable               | hantro_reg_write                               | hantro.h                     |
| 1_Driver    | hantro_check_depth_match                       | hantro_get_format_depth                        | hantro_v4l2.c                |
| 1_Driver    | hantro_find_format                             | hantro_get_formats                             | hantro_v4l2.c                |
| 1_Driver    | hantro_find_format                             | hantro_get_postproc_formats                    | hantro_v4l2.c                |
| 1_Driver    | vidioc_g_fmt_out_mplane                        | fh_to_ctx                                      | hantro.h                     |
| 1_Driver    | vidioc_g_fmt_cap_mplane                        | fh_to_ctx                                      | hantro.h                     |
| 1_Driver    | hantro_try_fmt                                 | hantro_find_format                             | hantro_v4l2.c                |
| 1_Driver    | hantro_try_fmt                                 | hantro_get_default_fmt                         | hantro_v4l2.c                |
| 1_Driver    | hantro_try_fmt                                 | hantro_needs_postproc                          | hantro_postproc.c            |
| 1_Driver    | hantro_try_fmt                                 | hantro_vp9_mv_size                             | hantro_hw.h                  |
| 1_Driver    | hantro_try_fmt                                 | hantro_h264_mv_size                            | hantro_hw.h                  |
| 1_Driver    | hantro_try_fmt                                 | hantro_hevc_mv_size                            | hantro_hw.h                  |
| 1_Driver    | hantro_try_fmt                                 | hantro_av1_mv_size                             | hantro_hw.h                  |
| 1_Driver    | hantro_set_fmt_out                             | hantro_find_format                             | hantro_v4l2.c                |
| 1_Driver    | hantro_set_fmt_out                             | hantro_try_fmt                                 | hantro_v4l2.c                |
| 1_Driver    | hantro_set_fmt_out                             | hantro_update_requires_request                 | hantro_v4l2.c                |
| 1_Driver    | hantro_set_fmt_out                             | hantro_update_requires_hold_capture_buf        | hantro_v4l2.c                |
| 1_Driver    | hantro_set_fmt_out                             | hantro_reset_raw_fmt                           | hantro_v4l2.c                |
| 1_Driver    | hantro_set_fmt_out                             | hantro_get_format_depth                        | hantro_v4l2.c                |
| 1_Driver    | hantro_set_fmt_cap                             | hantro_find_format                             | hantro_v4l2.c                |
| 1_Driver    | hantro_set_fmt_cap                             | hantro_try_fmt                                 | hantro_v4l2.c                |
| 1_Driver    | hantro_set_fmt_cap                             | hantro_update_requires_request                 | hantro_v4l2.c                |
| 1_Driver    | hantro_set_fmt_cap                             | hantro_reset_raw_fmt                           | hantro_v4l2.c                |
| 1_Driver    | vidioc_s_fmt_out_mplane                        | hantro_set_fmt_out                             | hantro_v4l2.c                |
| 1_Driver    | v4l2_m2m_try_run                               | device_run                                     | hantro_drv.c                 |
| 1_Driver    | vidioc_s_fmt_cap_mplane                        | hantro_set_fmt_cap                             | hantro_v4l2.c                |
| 1_Driver    | vidioc_s_fmt_cap_mplane                        | fh_to_ctx                                      | hantro.h                     |
| 1_Driver    | hantro_buf_prepare                             | hantro_buf_plane_check                         | hantro_v4l2.c                |
| 1_Driver    | hantro_start_streaming                         | hantro_vq_is_coded                             | hantro_v4l2.c                |
| 1_Driver    | hantro_start_streaming                         | hantro_needs_postproc                          | hantro_postproc.c            |
| 1_Driver    | hantro_start_streaming                         | hantro_postproc_init                           | hantro_postproc.c            |
| 1_Driver    | hantro_start_streaming                         | rockchip_vpu981_av1_dec_init                   | rockchip_vpu981_hw_av1_dec.c |
| 1_Driver    | hantro_start_streaming                         | rockchip_vpu981_av1_dec_exit                   | rockchip_vpu981_hw_av1_dec.c |
| 1_Driver    | hantro_stop_streaming                          | hantro_vq_is_coded                             | hantro_v4l2.c                |
| 1_Driver    | hantro_stop_streaming                          | hantro_return_bufs                             | hantro_v4l2.c                |
| 1_Driver    | hantro_stop_streaming                          | hantro_postproc_free                           | hantro_postproc.c            |
| 1_Driver    | hantro_stop_streaming                          | rockchip_vpu981_av1_dec_exit                   | rockchip_vpu981_hw_av1_dec.c |
| 1_Driver    | hantro_postproc_buffer_size                    | hantro_get_default_fmt                         | hantro_v4l2.c                |
| 1_Driver    | hantro_postproc_buffer_size                    | hantro_vp9_mv_size                             | hantro_hw.h                  |
| 1_Driver    | hantro_postproc_buffer_size                    | hantro_h264_mv_size                            | hantro_hw.h                  |
| 1_Driver    | hantro_postproc_buffer_size                    | hantro_hevc_mv_size                            | hantro_hw.h                  |
| 1_Driver    | hantro_postproc_buffer_size                    | hantro_hevc_compressed_size                    | hantro_hw.h                  |
| 1_Driver    | hantro_postproc_buffer_size                    | hantro_av1_mv_size                             | hantro_hw.h                  |
| 1_Driver    | hantro_postproc_alloc                          | hantro_postproc_buffer_size                    | hantro_postproc.c            |
| 1_Driver    | hantro_job_finish                              | hantro_job_finish_no_pm                        | hantro_drv.c                 |
| 1_Driver    | hantro_av1_s_ctrl                              | hantro_reset_raw_fmt                           | hantro_v4l2.c                |
| 1_Driver    | hantro_reset_raw_fmt                           | hantro_reset_fmt                               | hantro_v4l2.c                |
| 1_Driver    | hantro_reset_raw_fmt                           | hantro_set_fmt_out                             | hantro_v4l2.c                |
