Running query: struct_fieldaccess.ql on database /home/till/thesis/hantro-db...
| boundary_direction |                   func_name                    |          struct_name           | access_type |             file             |
+--------------------+------------------------------------------------+--------------------------------+-------------+------------------------------+
| Driver -> Kernel   | hantro_av1_s_ctrl                              | v4l2_ctrl                      | Read-only   | hantro_drv.c                 |
| Driver -> Kernel   | hantro_av1_s_ctrl                              | v4l2_ctrl_av1_sequence         | Read-only   | hantro_drv.c                 |
| Driver -> Kernel   | hantro_av1_s_ctrl                              | v4l2_ctrl_ptr                  | Read-only   | hantro_drv.c                 |
| Driver -> Kernel   | hantro_buf_out_validate                        | vb2_v4l2_buffer                | Modified    | hantro_v4l2.c                |
| Driver -> Kernel   | hantro_buf_plane_check                         | v4l2_pix_format_mplane         | Read-only   | hantro_v4l2.c                |
| Driver -> Kernel   | hantro_buf_plane_check                         | v4l2_plane_pix_format          | Read-only   | hantro_v4l2.c                |
| Driver -> Kernel   | hantro_buf_prepare                             | v4l2_pix_format_mplane         | Read-only   | hantro_v4l2.c                |
| Driver -> Kernel   | hantro_buf_prepare                             | v4l2_plane_pix_format          | Read-only   | hantro_v4l2.c                |
| Driver -> Kernel   | hantro_buf_prepare                             | vb2_buffer                     | Read-only   | hantro_v4l2.c                |
| Driver -> Kernel   | hantro_buf_prepare                             | vb2_queue                      | Read-only   | hantro_v4l2.c                |
| Driver -> Kernel   | hantro_buf_queue                               | v4l2_fh                        | Read-only   | hantro_v4l2.c                |
| Driver -> Kernel   | hantro_buf_queue                               | vb2_buffer                     | Read-only   | hantro_v4l2.c                |
| Driver -> Kernel   | hantro_buf_queue                               | vb2_queue                      | Read-only   | hantro_v4l2.c                |
| Driver -> Kernel   | hantro_buf_queue                               | vb2_v4l2_buffer                | Modified    | hantro_v4l2.c                |
| Driver -> Kernel   | hantro_buf_request_complete                    | media_request_object           | Read-only   | hantro_v4l2.c                |
| Driver -> Kernel   | hantro_buf_request_complete                    | vb2_buffer                     | Read-only   | hantro_v4l2.c                |
| Driver -> Kernel   | hantro_end_prepare_run                         | media_request_object           | Read-only   | hantro_drv.c                 |
| Driver -> Kernel   | hantro_end_prepare_run                         | vb2_buffer                     | Read-only   | hantro_drv.c                 |
| Driver -> Kernel   | hantro_end_prepare_run                         | vb2_v4l2_buffer                | Read-only   | hantro_drv.c                 |
| Driver -> Kernel   | hantro_get_ctrl                                | v4l2_ctrl                      | Read-only   | hantro_drv.c                 |
| Driver -> Kernel   | hantro_get_ctrl                                | v4l2_ctrl_ptr                  | Read-only   | hantro_drv.c                 |
| Driver -> Kernel   | hantro_get_dec_buf_addr                        | vb2_buffer                     | Read-only   | hantro.h                     |
| Driver -> Kernel   | hantro_get_dst_buf                             | v4l2_fh                        | Read-only   | hantro.h                     |
| Driver -> Kernel   | hantro_get_src_buf                             | v4l2_fh                        | Read-only   | hantro.h                     |
| Driver -> Kernel   | hantro_job_finish_no_pm                        | v4l2_fh                        | Read-only   | hantro_drv.c                 |
| Driver -> Kernel   | hantro_job_finish_no_pm                        | vb2_v4l2_buffer                | Modified    | hantro_drv.c                 |
| Driver -> Kernel   | hantro_postproc_buffer_size                    | v4l2_pix_format_mplane         | Read-only   | hantro_postproc.c            |
| Driver -> Kernel   | hantro_postproc_buffer_size                    | v4l2_plane_pix_format          | Read-only   | hantro_postproc.c            |
| Driver -> Kernel   | hantro_postproc_free                           | v4l2_fh                        | Read-only   | hantro_postproc.c            |
| Driver -> Kernel   | hantro_postproc_free                           | v4l2_m2m_ctx                   | Read-only   | hantro_postproc.c            |
| Driver -> Kernel   | hantro_postproc_free                           | v4l2_m2m_queue_ctx             | Read-only   | hantro_postproc.c            |
| Driver -> Kernel   | hantro_postproc_free                           | vb2_queue                      | Read-only   | hantro_postproc.c            |
| Driver -> Kernel   | hantro_postproc_init                           | v4l2_fh                        | Read-only   | hantro_postproc.c            |
| Driver -> Kernel   | hantro_postproc_init                           | v4l2_m2m_ctx                   | Read-only   | hantro_postproc.c            |
| Driver -> Kernel   | hantro_postproc_init                           | v4l2_m2m_queue_ctx             | Read-only   | hantro_postproc.c            |
| Driver -> Kernel   | hantro_queue_setup                             | v4l2_pix_format_mplane         | Read-only   | hantro_v4l2.c                |
| Driver -> Kernel   | hantro_queue_setup                             | v4l2_plane_pix_format          | Read-only   | hantro_v4l2.c                |
| Driver -> Kernel   | hantro_queue_setup                             | vb2_queue                      | Read-only   | hantro_v4l2.c                |
| Driver -> Kernel   | hantro_reset_fmt                               | (unnamed class/struct/union)   | Modified    | hantro_v4l2.c                |
