Running query: ioctl_recursive_calls.ql on database /home/till/thesis/hantro-db...
|         caller_file          | core_scope  | unique_ioctls_calling_this |                                                              ioctl_list                                                               |         called_file          |
+------------------------------+-------------+----------------------------+---------------------------------------------------------------------------------------------------------------------------------------+------------------------------+
| v4l2-dev.c                   | 3_kernel    |                         10 | v4l_dqbuf, v4l_enum_fmt, v4l_g_fmt, v4l_qbuf, v4l_query_ext_ctrl, v4l_querybuf, v4l_querycap, v4l_reqbufs, v4l_s_ext_ctrls, v4l_s_fmt | fs.h                         |
| v4l2-mem2mem.c               | 2_SubSystem |                          8 | v4l_dqbuf, v4l_qbuf, v4l_querybuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon, v4l_stub_expbuf                             | v4l2-mem2mem.c               |
| v4l2-ioctl.c                 | 2_SubSystem |                          7 | v4l_dqbuf, v4l_enum_fmt, v4l_g_fmt, v4l_qbuf, v4l_querybuf, v4l_reqbufs, v4l_s_fmt                                                    | v4l2-dev.c                   |
| v4l2-ctrls-request.c         | 3_kernel    |                          6 | v4l_dqbuf, v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon                                                        | list.h                       |
| v4l2-ctrls-core.c            | 2_SubSystem |                          6 | v4l_qbuf, v4l_query_ext_ctrl, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon                                               | v4l2-ctrls-core.c            |
| v4l2-ctrls-core.c            | 3_kernel    |                          6 | v4l_qbuf, v4l_query_ext_ctrl, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon                                               | list.h                       |
| videobuf2-core.c             | 2_SubSystem |                          6 | v4l_dqbuf, v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon                                                        | videobuf2-v4l2.c             |
| videobuf2-core.h             | 3_kernel    |                          6 | v4l_qbuf, v4l_querybuf, v4l_reqbufs, v4l_streamoff, v4l_streamon, v4l_stub_expbuf                                                     | generic-non-atomic.h         |
| v4l2-ctrls-request.c         | 3_kernel    |                          6 | v4l_dqbuf, v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon                                                        | mutex.h                      |
| v4l2-ctrls-core.c            | 3_kernel    |                          5 | v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon                                                                   | list.h                       |
| v4l2-ctrls-core.c            | 2_SubSystem |                          5 | v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon                                                                   | v4l2-ctrls-defs.c            |
| v4l2-event.c                 | 3_kernel    |                          5 | v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon                                                                   | wait.h                       |
| hantro_v4l2.c                | 2_SubSystem |                          5 | v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon, v4l_stub_enum_framesizes                                                          | hantro_v4l2.c                |
| hantro_v4l2.c                | 2_SubSystem |                          5 | v4l_enum_fmt, v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon                                                                      | hantro_v4l2.c                |
| v4l2-ctrls-request.c         | 3_kernel    |                          5 | v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon                                                                   | mutex.h                      |
