Running query: recursive_function_calls.ql on database /home/till/thesis/hantro-db...
|  scope   |                  caller_func                   |                  called_func                   |             file             |
+----------+------------------------------------------------+------------------------------------------------+------------------------------+
| 1_driver | __buf_prepare                                  | __prepare_userptr                              | videobuf2-core.c             |
| 1_driver | __buf_prepare                                  | __prepare_mmap                                 | videobuf2-core.c             |
| 1_driver | __buf_prepare                                  | hantro_buf_out_validate                        | hantro_v4l2.c                |
| 1_driver | __buf_prepare                                  | __prepare_dmabuf                               | videobuf2-core.c             |
| 1_driver | __buf_prepare                                  | __vb2_buf_mem_prepare                          | videobuf2-core.c             |
| 1_driver | __buffers_in_use                               | vb2_buffer_in_use                              | videobuf2-core.c             |
| 1_driver | __buffers_in_use                               | vb2_get_buffer                                 | videobuf2-core.h             |
| 1_driver | __enqueue_in_driver                            | hantro_buf_queue                               | hantro_v4l2.c                |
| 1_driver | __fill_v4l2_buffer                             | vb2_buffer_in_use                              | videobuf2-core.c             |
| 1_driver | __prepare_dmabuf                               | __fill_vb2_buffer                              | videobuf2-v4l2.c             |
| 1_driver | __prepare_dmabuf                               | hantro_buf_prepare                             | hantro_v4l2.c                |
| 1_driver | __prepare_dmabuf                               | __vb2_buf_dmabuf_put                           | videobuf2-core.c             |
| 1_driver | __prepare_dmabuf                               | vb2_dc_attach_dmabuf                           | videobuf2-dma-contig.c       |
| 1_driver | __prepare_dmabuf                               | vb2_dc_map_dmabuf                              | videobuf2-dma-contig.c       |
| 1_driver | __prepare_mmap                                 | __fill_vb2_buffer                              | videobuf2-v4l2.c             |
| 1_driver | __prepare_mmap                                 | hantro_buf_prepare                             | hantro_v4l2.c                |
| 1_driver | __prepare_userptr                              | hantro_buf_prepare                             | hantro_v4l2.c                |
| 1_driver | __prepare_userptr                              | vb2_dc_get_userptr                             | videobuf2-dma-contig.c       |
| 1_driver | __prepare_userptr                              | vb2_dc_put_userptr                             | videobuf2-dma-contig.c       |
| 1_driver | __prepare_userptr                              | __fill_vb2_buffer                              | videobuf2-v4l2.c             |
| 1_driver | __v4l2_event_queue_fh                          | sev_pos                                        | v4l2-event.c                 |
| 1_driver | __v4l2_event_queue_fh                          | v4l2_event_subscribed                          | v4l2-event.c                 |
| 1_driver | __v4l2_event_unsubscribe                       | sev_pos                                        | v4l2-event.c                 |
| 1_driver | __vb2_buf_dmabuf_put                           | __vb2_plane_dmabuf_put                         | videobuf2-core.c             |
| 1_driver | __vb2_buf_mem_alloc                            | vb2_dc_alloc                                   | videobuf2-dma-contig.c       |
| 1_driver | __vb2_buf_mem_alloc                            | vb2_dc_put                                     | videobuf2-dma-contig.c       |
| 1_driver | __vb2_buf_mem_finish                           | vb2_dc_finish                                  | videobuf2-dma-contig.c       |
| 1_driver | __vb2_buf_mem_free                             | vb2_dc_put                                     | videobuf2-dma-contig.c       |
| 1_driver | __vb2_buf_mem_prepare                          | vb2_dc_prepare                                 | videobuf2-dma-contig.c       |
| 1_driver | __vb2_buf_userptr_put                          | vb2_dc_put_userptr                             | videobuf2-dma-contig.c       |
| 1_driver | __vb2_dqbuf                                    | __init_vb2_v4l2_buffer                         | videobuf2-v4l2.c             |
| 1_driver | __vb2_free_mem                                 | __vb2_buf_dmabuf_put                           | videobuf2-core.c             |
| 1_driver | __vb2_free_mem                                 | vb2_get_buffer                                 | videobuf2-core.h             |
| 1_driver | __vb2_free_mem                                 | __vb2_buf_mem_free                             | videobuf2-core.c             |
| 1_driver | __vb2_free_mem                                 | __vb2_buf_userptr_put                          | videobuf2-core.c             |
| 1_driver | __vb2_get_done_vb                              | __vb2_wait_for_done_vb                         | videobuf2-core.c             |
| 1_driver | __vb2_get_done_vb                              | __verify_planes_array_core                     | videobuf2-v4l2.c             |
| 1_driver | __vb2_plane_dmabuf_put                         | vb2_dc_unmap_dmabuf                            | videobuf2-dma-contig.c       |
| 1_driver | __vb2_plane_dmabuf_put                         | vb2_dc_detach_dmabuf                           | videobuf2-dma-contig.c       |
| 1_driver | __vb2_queue_alloc                              | vb2_queue_add_buffer                           | videobuf2-core.c             |
| 1_driver | __vb2_queue_alloc                              | __init_vb2_v4l2_buffer                         | videobuf2-v4l2.c             |
| 1_driver | __vb2_queue_alloc                              | __vb2_buf_mem_alloc                            | videobuf2-core.c             |
| 1_driver | __vb2_queue_alloc                              | __vb2_buf_mem_free                             | videobuf2-core.c             |
| 1_driver | __vb2_queue_alloc                              | __setup_offsets                                | videobuf2-core.c             |
| 1_driver | __vb2_queue_alloc                              | init_buffer_cache_hints                        | videobuf2-core.c             |
| 1_driver | __vb2_queue_alloc                              | vb2_queue_remove_buffer                        | videobuf2-core.c             |
| 1_driver | __vb2_queue_alloc                              | vb2_get_num_buffers                            | videobuf2-core.h             |
| 1_driver | __vb2_queue_cancel                             | vb2_buffer_done                                | videobuf2-core.c             |
| 1_driver | __vb2_queue_cancel                             | __vb2_buf_mem_finish                           | videobuf2-core.c             |
| 1_driver | __vb2_queue_cancel                             | hantro_stop_streaming                          | hantro_v4l2.c                |
| 1_driver | __vb2_queue_cancel                             | hantro_buf_request_complete                    | hantro_v4l2.c                |
| 1_driver | __vb2_queue_cancel                             | vb2_get_buffer                                 | videobuf2-core.h             |
| 1_driver | __vb2_queue_cancel                             | __vb2_dqbuf                                    | videobuf2-core.c             |
| 1_driver | __vb2_queue_free                               | vb2_get_num_buffers                            | videobuf2-core.h             |
| 1_driver | __vb2_queue_free                               | __vb2_free_mem                                 | videobuf2-core.c             |
| 1_driver | __vb2_queue_free                               | vb2_queue_remove_buffer                        | videobuf2-core.c             |
| 1_driver | __vb2_queue_free                               | vb2_get_buffer                                 | videobuf2-core.h             |
| 1_driver | __vb2_wait_for_done_vb                         | vb2_ops_wait_prepare                           | videobuf2-v4l2.c             |
| 1_driver | __vb2_wait_for_done_vb                         | vb2_ops_wait_finish                            | videobuf2-v4l2.c             |
| 1_driver | __verify_planes_array_core                     | __verify_planes_array                          | videobuf2-v4l2.c             |
| 1_driver | clamp_roundup                                  | __compiletime_assert_625                       | vdec.c                       |
| 1_driver | clamp_roundup                                  | __compiletime_assert_625                       | mtk_vcodec_dec_drv.c         |
| 1_driver | clamp_roundup                                  | __compiletime_assert_625                       | core.h                       |
| 1_driver | clamp_roundup                                  | __compiletime_assert_625                       | camss-csiphy.c               |
| 1_driver | clamp_roundup                                  | __compiletime_assert_625                       | gsc-core.c                   |
| 1_driver | clamp_roundup                                  | __compiletime_assert_625                       | meson-ir.c                   |
| 1_driver | clamp_roundup                                  | __compiletime_assert_625                       | hantro_jpeg.c                |
| 1_driver | clamp_roundup                                  | __compiletime_assert_625                       | venc.c                       |
| 1_driver | clamp_roundup                                  | __compiletime_assert_625                       | vdec_vp9_req_lat_if.c        |
| 1_driver | clamp_roundup                                  | __compiletime_assert_625                       | mtk_vcodec_enc.c             |
