Running query: find_untracked_calls.ql on database /home/till/thesis/hantro-db...
|        ops_struct         |        field         |          called_from           | raw_access_path |            file            | line |        implementation_func         |
+---------------------------+----------------------+--------------------------------+-----------------+----------------------------+------+------------------------------------+
| vb2_mem_ops               | vaddr                | vb2_plane_vaddr                | mem_ops         | videobuf2-core.c           | 1168 | vb2_dc_vaddr                       |
| vb2_mem_ops               | vaddr                | vb2_plane_vaddr                | mem_ops         | videobuf2-core.c           | 1168 | vb2_dma_sg_vaddr                   |
| vb2_mem_ops               | vaddr                | vb2_plane_vaddr                | mem_ops         | videobuf2-core.c           | 1168 | vb2_vmalloc_vaddr                  |
| vb2_mem_ops               | alloc                | __vb2_buf_mem_alloc            | mem_ops         | videobuf2-core.c           |  242 | vb2_dc_alloc                       |
| vb2_mem_ops               | alloc                | __vb2_buf_mem_alloc            | mem_ops         | videobuf2-core.c           |  242 | vb2_dma_sg_alloc                   |
| vb2_mem_ops               | alloc                | __vb2_buf_mem_alloc            | mem_ops         | videobuf2-core.c           |  242 | vb2_vmalloc_alloc                  |
| vb2_mem_ops               | cookie               | vb2_plane_cookie               | mem_ops         | videobuf2-core.c           | 1178 | vb2_dc_cookie                      |
| vb2_mem_ops               | cookie               | vb2_plane_cookie               | mem_ops         | videobuf2-core.c           | 1178 | vb2_dma_sg_cookie                  |
| vb2_mem_ops               | put                  | __vb2_buf_mem_free             | mem_ops         | videobuf2-core.c           |  275 | vb2_dc_put                         |
| vb2_mem_ops               | put                  | __vb2_buf_mem_free             | mem_ops         | videobuf2-core.c           |  275 | vb2_dma_sg_put                     |
| vb2_mem_ops               | put                  | __vb2_buf_mem_free             | mem_ops         | videobuf2-core.c           |  275 | vb2_vmalloc_put                    |
| vb2_mem_ops               | put                  | __vb2_buf_mem_alloc            | mem_ops         | videobuf2-core.c           |  260 | vb2_dc_put                         |
| vb2_mem_ops               | put                  | __vb2_buf_mem_alloc            | mem_ops         | videobuf2-core.c           |  260 | vb2_dma_sg_put                     |
| vb2_mem_ops               | put                  | __vb2_buf_mem_alloc            | mem_ops         | videobuf2-core.c           |  260 | vb2_vmalloc_put                    |
| vb2_mem_ops               | prepare              | __vb2_buf_mem_prepare          | mem_ops         | videobuf2-core.c           |  355 | vb2_dc_prepare                     |
| vb2_mem_ops               | prepare              | __vb2_buf_mem_prepare          | mem_ops         | videobuf2-core.c           |  355 | vb2_dma_sg_prepare                 |
| vb2_mem_ops               | finish               | __vb2_buf_mem_finish           | mem_ops         | videobuf2-core.c           |  371 | vb2_dc_finish                      |
| vb2_mem_ops               | finish               | __vb2_buf_mem_finish           | mem_ops         | videobuf2-core.c           |  371 | vb2_dma_sg_finish                  |
| vb2_mem_ops               | num_users            | vb2_buffer_in_use              | mem_ops         | videobuf2-core.c           |  711 | vb2_dc_num_users                   |
| vb2_mem_ops               | num_users            | vb2_buffer_in_use              | mem_ops         | videobuf2-core.c           |  711 | vb2_dma_sg_num_users               |
| vb2_mem_ops               | num_users            | vb2_buffer_in_use              | mem_ops         | videobuf2-core.c           |  711 | vb2_vmalloc_num_users              |
| vb2_mem_ops               | unmap_dmabuf         | __vb2_plane_dmabuf_put         | mem_ops         | videobuf2-core.c           |  308 | vb2_dc_unmap_dmabuf                |
| vb2_mem_ops               | unmap_dmabuf         | __vb2_plane_dmabuf_put         | mem_ops         | videobuf2-core.c           |  308 | vb2_dma_sg_unmap_dmabuf            |
| vb2_mem_ops               | unmap_dmabuf         | __vb2_plane_dmabuf_put         | mem_ops         | videobuf2-core.c           |  308 | vb2_vmalloc_unmap_dmabuf           |
| vb2_mem_ops               | map_dmabuf           | __prepare_dmabuf               | mem_ops         | videobuf2-core.c           | 1477 | vb2_dc_map_dmabuf                  |
