"ioctl","scope","unique_functions_touched"
"v4l_dqbuf","2_SubSystem",26
"v4l_dqbuf","3_kernel",29
"v4l_enum_fmt","1_Driver",8
"v4l_enum_fmt","2_SubSystem",11
"v4l_enum_fmt","3_kernel",7
"v4l_g_fmt","1_Driver",3
"v4l_g_fmt","2_SubSystem",6
"v4l_g_fmt","3_kernel",5
"v4l_qbuf","1_Driver",267
"v4l_qbuf","2_SubSystem",472
"v4l_qbuf","3_kernel",141
"v4l_query_ext_ctrl","2_SubSystem",6
"v4l_query_ext_ctrl","3_kernel",12
"v4l_querybuf","2_SubSystem",16
"v4l_querybuf","3_kernel",9
"v4l_querycap","1_Driver",1
"v4l_querycap","2_SubSystem",2
"v4l_querycap","3_kernel",6
"v4l_reqbufs","1_Driver",13
"v4l_reqbufs","2_SubSystem",116
"v4l_reqbufs","3_kernel",99
"v4l_s_ext_ctrls","1_Driver",26
"v4l_s_ext_ctrls","2_SubSystem",113
"v4l_s_ext_ctrls","3_kernel",54
"v4l_s_fmt","1_Driver",24
"v4l_s_fmt","2_SubSystem",40
"v4l_s_fmt","3_kernel",13
"v4l_streamoff","1_Driver",12
"v4l_streamoff","2_SubSystem",64
"v4l_streamoff","3_kernel",58
"v4l_streamon","1_Driver",264
"v4l_streamon","2_SubSystem",415
"v4l_streamon","3_kernel",95
"v4l_stub_enum_framesizes","1_Driver",8
"v4l_stub_enum_framesizes","2_SubSystem",8
"v4l_stub_enum_framesizes","3_kernel",1
"v4l_stub_expbuf","2_SubSystem",12
"v4l_stub_expbuf","3_kernel",15
