Running query: recursive_function_calls.ql on database /home/till/thesis/hantro-db...
|  scope   |             called_func              |          dest_file           |
+----------+--------------------------------------+------------------------------+
| 1_driver | hantro_vq_is_coded                   | hantro_v4l2.c                |
| 1_driver | __verify_mmap_ops                    | videobuf2-core.c             |
| 1_driver | __verify_userptr_ops                 | videobuf2-core.c             |
| 1_driver | __buffers_in_use                     | videobuf2-core.c             |
| 1_driver | __vb2_queue_free                     | videobuf2-core.c             |
| 1_driver | __vb2_free_mem                       | videobuf2-core.c             |
| 1_driver | __vb2_queue_alloc                    | videobuf2-core.c             |
| 1_driver | vb2_queue_remove_buffer              | videobuf2-core.c             |
| 1_driver | vb2_queue_add_buffer                 | videobuf2-core.c             |
| 1_driver | init_buffer_cache_hints              | videobuf2-core.c             |
| 1_driver | __setup_offsets                      | videobuf2-core.c             |
| 1_driver | __vb2_buf_mem_finish                 | videobuf2-core.c             |
| 1_driver | __vb2_buf_dmabuf_put                 | videobuf2-core.c             |
| 1_driver | __vb2_plane_dmabuf_put               | videobuf2-core.c             |
| 1_driver | __vb2_buf_userptr_put                | videobuf2-core.c             |
| 1_driver | __vb2_buf_mem_free                   | videobuf2-core.c             |
| 1_driver | __vb2_buf_mem_alloc                  | videobuf2-core.c             |
| 1_driver | vb2_state_name                       | videobuf2-core.c             |
| 1_driver | vb2_reqbufs                          | videobuf2-v4l2.c             |
| 1_driver | vb2_destroy_framevec                 | videobuf2-memops.c           |
| 1_driver | vb2_dc_detach_dmabuf                 | videobuf2-dma-contig.c       |
| 1_driver | vb2_dc_unmap_dmabuf                  | videobuf2-dma-contig.c       |
| 1_driver | vb2_dc_put_userptr                   | videobuf2-dma-contig.c       |
| 1_driver | vb2_dc_alloc                         | videobuf2-dma-contig.c       |
| 1_driver | vb2_dc_alloc_non_coherent            | videobuf2-dma-contig.c       |
| 1_driver | vb2_dc_alloc_coherent                | videobuf2-dma-contig.c       |
| 1_driver | vb2_dc_put                           | videobuf2-dma-contig.c       |
| 1_driver | vb2_dc_finish                        | videobuf2-dma-contig.c       |
| 1_driver | vb2_dc_num_users                     | videobuf2-dma-contig.c       |
| 1_driver | vb2_dma_sg_detach_dmabuf             | videobuf2-dma-sg.c           |
| 1_driver | vb2_dma_sg_unmap_dmabuf              | videobuf2-dma-sg.c           |
| 1_driver | vb2_dma_sg_num_users                 | videobuf2-dma-sg.c           |
| 1_driver | vb2_dma_sg_put_userptr               | videobuf2-dma-sg.c           |
| 1_driver | vb2_dma_sg_finish                    | videobuf2-dma-sg.c           |
| 1_driver | vb2_dma_sg_put                       | videobuf2-dma-sg.c           |
| 1_driver | vb2_dma_sg_alloc                     | videobuf2-dma-sg.c           |
| 1_driver | vb2_dma_sg_alloc_compacted           | videobuf2-dma-sg.c           |
| 1_driver | vb2_set_flags_and_caps               | videobuf2-v4l2.c             |
| 1_driver | __init_vb2_v4l2_buffer               | videobuf2-v4l2.c             |
| 1_driver | vb2_vmalloc_detach_dmabuf            | videobuf2-vmalloc.c          |
| 1_driver | vb2_vmalloc_unmap_dmabuf             | videobuf2-vmalloc.c          |
| 1_driver | vb2_vmalloc_num_users                | videobuf2-vmalloc.c          |
| 1_driver | vb2_vmalloc_put_userptr              | videobuf2-vmalloc.c          |
| 1_driver | vb2_vmalloc_put                      | videobuf2-vmalloc.c          |
| 1_driver | vb2_vmalloc_alloc                    | videobuf2-vmalloc.c          |
| 1_driver | v4l2_ctrl_type_op_init               | v4l2-ctrls-core.c            |
| 1_driver | v4l2_ctrl_request_complete           | v4l2-ctrls-request.c         |
| 1_driver | v4l2_ctrl_merge                      | v4l2-ctrls-api.c             |
| 1_driver | v4l2_ctrl_replace                    | v4l2-ctrls-api.c             |
| 1_driver | v4l2_ctrl_get_name                   | v4l2-ctrls-defs.c            |
| 1_driver | v4l2_ctrl_new_std                    | v4l2-ctrls-core.c            |
| 1_driver | v4l2_ctrl_handler_free               | v4l2-ctrls-core.c            |
| 1_driver | v4l2_ctrl_handler_init_class         | v4l2-ctrls-core.c            |
| 1_driver | v4l2_ctrl_fill                       | v4l2-ctrls-defs.c            |
| 1_driver | v4l2_event_queue_fh                  | v4l2-event.c                 |
| 1_driver | check_fmt                            | v4l2-ioctl.c                 |
| 1_driver | v4l2_m2m_ioctl_reqbufs               | v4l2-mem2mem.c               |
| 1_driver | v4l2_m2m_update_stop_streaming_state | v4l2-mem2mem.c               |
| 1_driver | v4l2_m2m_reqbufs                     | v4l2-mem2mem.c               |
