Running query: recursive_function_calls.ql on database /home/till/thesis/hantro-db...
|  scope   |             caller_func              |             called_func              |             file             |
+----------+--------------------------------------+--------------------------------------+------------------------------+
| 1_driver | __buffers_in_use                     | vb2_buffer_in_use                    | videobuf2-core.c             |
| 1_driver | __buffers_in_use                     | vb2_get_buffer                       | videobuf2-core.h             |
| 1_driver | __v4l2_event_queue_fh                | v4l2_event_subscribed                | v4l2-event.c                 |
| 1_driver | __v4l2_event_queue_fh                | sev_pos                              | v4l2-event.c                 |
| 1_driver | __vb2_buf_dmabuf_put                 | __vb2_plane_dmabuf_put               | videobuf2-core.c             |
| 1_driver | __vb2_buf_mem_alloc                  | vb2_dc_put                           | videobuf2-dma-contig.c       |
| 1_driver | __vb2_buf_mem_alloc                  | vb2_dc_alloc                         | videobuf2-dma-contig.c       |
| 1_driver | __vb2_buf_mem_finish                 | vb2_dc_finish                        | videobuf2-dma-contig.c       |
| 1_driver | __vb2_buf_mem_free                   | vb2_dc_put                           | videobuf2-dma-contig.c       |
| 1_driver | __vb2_buf_userptr_put                | vb2_dc_put_userptr                   | videobuf2-dma-contig.c       |
| 1_driver | __vb2_dqbuf                          | __init_vb2_v4l2_buffer               | videobuf2-v4l2.c             |
| 1_driver | __vb2_free_mem                       | __vb2_buf_userptr_put                | videobuf2-core.c             |
| 1_driver | __vb2_free_mem                       | vb2_get_buffer                       | videobuf2-core.h             |
| 1_driver | __vb2_free_mem                       | __vb2_buf_dmabuf_put                 | videobuf2-core.c             |
| 1_driver | __vb2_free_mem                       | __vb2_buf_mem_free                   | videobuf2-core.c             |
| 1_driver | __vb2_plane_dmabuf_put               | vb2_dc_unmap_dmabuf                  | videobuf2-dma-contig.c       |
| 1_driver | __vb2_plane_dmabuf_put               | vb2_dc_detach_dmabuf                 | videobuf2-dma-contig.c       |
| 1_driver | __vb2_queue_alloc                    | vb2_queue_remove_buffer              | videobuf2-core.c             |
| 1_driver | __vb2_queue_alloc                    | vb2_queue_add_buffer                 | videobuf2-core.c             |
| 1_driver | __vb2_queue_alloc                    | __init_vb2_v4l2_buffer               | videobuf2-v4l2.c             |
| 1_driver | __vb2_queue_alloc                    | init_buffer_cache_hints              | videobuf2-core.c             |
| 1_driver | __vb2_queue_alloc                    | vb2_get_num_buffers                  | videobuf2-core.h             |
| 1_driver | __vb2_queue_alloc                    | __vb2_buf_mem_alloc                  | videobuf2-core.c             |
| 1_driver | __vb2_queue_alloc                    | __vb2_buf_mem_free                   | videobuf2-core.c             |
| 1_driver | __vb2_queue_alloc                    | __setup_offsets                      | videobuf2-core.c             |
| 1_driver | __vb2_queue_cancel                   | vb2_get_buffer                       | videobuf2-core.h             |
| 1_driver | __vb2_queue_cancel                   | hantro_stop_streaming                | hantro_v4l2.c                |
| 1_driver | __vb2_queue_cancel                   | hantro_buf_request_complete          | hantro_v4l2.c                |
| 1_driver | __vb2_queue_cancel                   | vb2_buffer_done                      | videobuf2-core.c             |
| 1_driver | __vb2_queue_cancel                   | __vb2_dqbuf                          | videobuf2-core.c             |
| 1_driver | __vb2_queue_cancel                   | __vb2_buf_mem_finish                 | videobuf2-core.c             |
| 1_driver | __vb2_queue_free                     | vb2_queue_remove_buffer              | videobuf2-core.c             |
| 1_driver | __vb2_queue_free                     | vb2_get_buffer                       | videobuf2-core.h             |
| 1_driver | __vb2_queue_free                     | vb2_get_num_buffers                  | videobuf2-core.h             |
| 1_driver | __vb2_queue_free                     | __vb2_free_mem                       | videobuf2-core.c             |
| 1_driver | check_fmt                            | video_devdata                        | v4l2-dev.c                   |
| 1_driver | cur_to_new                           | ptr_to_ptr                           | v4l2-ctrls-core.c            |
| 1_driver | cur_to_req                           | ptr_to_ptr                           | v4l2-ctrls-core.c            |
| 1_driver | cur_to_req                           | req_alloc_array                      | v4l2-ctrls-core.c            |
| 1_driver | find_ref                             | find_private_ref                     | v4l2-ctrls-core.c            |
| 1_driver | find_ref_lock                        | find_ref                             | v4l2-ctrls-core.c            |
| 1_driver | handler_new_ref                      | handler_set_err                      | v4l2-ctrls-core.c            |
| 1_driver | handler_new_ref                      | v4l2_ctrl_new_std                    | v4l2-ctrls-core.c            |
| 1_driver | handler_new_ref                      | find_ref_lock                        | v4l2-ctrls-core.c            |
| 1_driver | handler_new_ref                      | node2id                              | v4l2-ctrls-priv.h            |
| 1_driver | hantro_buf_request_complete          | vb2_get_drv_priv                     | videobuf2-core.h             |
| 1_driver | hantro_buf_request_complete          | v4l2_ctrl_request_complete           | v4l2-ctrls-request.c         |
| 1_driver | hantro_queue_setup                   | vb2_get_drv_priv                     | videobuf2-core.h             |
| 1_driver | hantro_return_bufs                   | vb2_get_drv_priv                     | videobuf2-core.h             |
| 1_driver | hantro_return_bufs                   | v4l2_ctrl_request_complete           | v4l2-ctrls-request.c         |
| 1_driver | hantro_stop_streaming                | v4l2_m2m_update_stop_streaming_state | v4l2-mem2mem.c               |
| 1_driver | hantro_stop_streaming                | hantro_vq_is_coded                   | hantro_v4l2.c                |
| 1_driver | hantro_stop_streaming                | hantro_return_bufs                   | hantro_v4l2.c                |
| 1_driver | hantro_stop_streaming                | hantro_postproc_free                 | hantro_postproc.c            |
| 1_driver | hantro_stop_streaming                | vb2_get_drv_priv                     | videobuf2-core.h             |
| 1_driver | hantro_stop_streaming                | v4l2_event_queue_fh                  | v4l2-event.c                 |
| 1_driver | hantro_stop_streaming                | rockchip_vpu981_av1_dec_exit         | rockchip_vpu981_hw_av1_dec.c |
| 1_driver | hantro_vq_is_coded                   | vb2_get_drv_priv                     | videobuf2-core.h             |
| 1_driver | new_to_req                           | req_alloc_array                      | v4l2-ctrls-core.c            |
| 1_driver | new_to_req                           | ptr_to_ptr                           | v4l2-ctrls-core.c            |
| 1_driver | rockchip_vpu981_av1_dec_exit         | rockchip_vpu981_av1_dec_tiles_free   | rockchip_vpu981_hw_av1_dec.c |
