Running query: find_used_structs.ql on database /home/till/thesis/hantro-db...
|              func_name               |          struct_name          | struct_origin | access_type |             file             |
+--------------------------------------+-------------------------------+---------------+-------------+------------------------------+
| __buffers_in_use                     | vb2_buffer                    | driver        | Read-only   | videobuf2-core.c             |
| __buffers_in_use                     | vb2_queue                     | driver        | Read-only   | videobuf2-core.c             |
| __init_vb2_v4l2_buffer               | vb2_buffer                    | driver        | Read-only   | videobuf2-v4l2.c             |
| __init_vb2_v4l2_buffer               | vb2_v4l2_buffer               | driver        | Modified    | videobuf2-v4l2.c             |
| __setup_offsets                      | (unnamed class/struct/union)  | driver        | Modified    | videobuf2-core.c             |
| __setup_offsets                      | vb2_buffer                    | driver        | Read-only   | videobuf2-core.c             |
| __setup_offsets                      | vb2_queue                     | driver        | Read-only   | videobuf2-core.c             |
| __vb2_buf_dmabuf_put                 | vb2_buffer                    | driver        | Read-only   | videobuf2-core.c             |
| __vb2_buf_mem_alloc                  | vb2_buffer                    | driver        | Read-only   | videobuf2-core.c             |
| __vb2_buf_mem_alloc                  | vb2_mem_ops                   | driver        | Read-only   | videobuf2-core.c             |
| __vb2_buf_mem_alloc                  | vb2_queue                     | driver        | Read-only   | videobuf2-core.c             |
| __vb2_buf_mem_finish                 | vb2_buffer                    | driver        | Read-only   | videobuf2-core.c             |
| __vb2_buf_mem_finish                 | vb2_mem_ops                   | driver        | Read-only   | videobuf2-core.c             |
| __vb2_buf_mem_finish                 | vb2_queue                     | driver        | Read-only   | videobuf2-core.c             |
| __vb2_buf_mem_free                   | vb2_buffer                    | driver        | Read-only   | videobuf2-core.c             |
| __vb2_buf_mem_free                   | vb2_mem_ops                   | driver        | Read-only   | videobuf2-core.c             |
| __vb2_buf_mem_free                   | vb2_queue                     | driver        | Read-only   | videobuf2-core.c             |
| __vb2_buf_userptr_put                | vb2_buffer                    | driver        | Read-only   | videobuf2-core.c             |
| __vb2_buf_userptr_put                | vb2_mem_ops                   | driver        | Read-only   | videobuf2-core.c             |
| __vb2_buf_userptr_put                | vb2_queue                     | driver        | Read-only   | videobuf2-core.c             |
| __vb2_dqbuf                          | vb2_buf_ops                   | driver        | Read-only   | videobuf2-core.c             |
| __vb2_dqbuf                          | vb2_buffer                    | driver        | Read-only   | videobuf2-core.c             |
| __vb2_dqbuf                          | vb2_queue                     | driver        | Read-only   | videobuf2-core.c             |
| __vb2_free_mem                       | vb2_buffer                    | driver        | Read-only   | videobuf2-core.c             |
| __vb2_free_mem                       | vb2_queue                     | driver        | Read-only   | videobuf2-core.c             |
| __vb2_plane_dmabuf_put               | (unnamed class/struct/union)  | driver        | Modified    | videobuf2-core.c             |
| __vb2_plane_dmabuf_put               | vb2_buffer                    | driver        | Read-only   | videobuf2-core.c             |
| __vb2_plane_dmabuf_put               | vb2_mem_ops                   | driver        | Read-only   | videobuf2-core.c             |
| __vb2_plane_dmabuf_put               | vb2_plane                     | driver        | Read-only   | videobuf2-core.c             |
| __vb2_plane_dmabuf_put               | vb2_queue                     | driver        | Read-only   | videobuf2-core.c             |
| __vb2_queue_alloc                    | vb2_buf_ops                   | driver        | Read-only   | videobuf2-core.c             |
| __vb2_queue_alloc                    | vb2_buffer                    | driver        | Read-only   | videobuf2-core.c             |
| __vb2_queue_alloc                    | vb2_ops                       | driver        | Read-only   | videobuf2-core.c             |
| __vb2_queue_alloc                    | vb2_queue                     | driver        | Read-only   | videobuf2-core.c             |
| __vb2_queue_cancel                   | vb2_buffer                    | driver        | Read-only   | videobuf2-core.c             |
| __vb2_queue_cancel                   | vb2_ops                       | driver        | Read-only   | videobuf2-core.c             |
| __vb2_queue_cancel                   | vb2_queue                     | driver        | Read-only   | videobuf2-core.c             |
| __vb2_queue_free                     | vb2_buffer                    | driver        | Read-only   | videobuf2-core.c             |
| __vb2_queue_free                     | vb2_ops                       | driver        | Read-only   | videobuf2-core.c             |
| __vb2_queue_free                     | vb2_queue                     | driver        | Read-only   | videobuf2-core.c             |
| __verify_dmabuf_ops                  | vb2_mem_ops                   | driver        | Read-only   | videobuf2-core.c             |
| __verify_dmabuf_ops                  | vb2_queue                     | driver        | Read-only   | videobuf2-core.c             |
| __verify_mmap_ops                    | vb2_mem_ops                   | driver        | Read-only   | videobuf2-core.c             |
| __verify_mmap_ops                    | vb2_queue                     | driver        | Read-only   | videobuf2-core.c             |
| __verify_userptr_ops                 | vb2_mem_ops                   | driver        | Read-only   | videobuf2-core.c             |
| __verify_userptr_ops                 | vb2_queue                     | driver        | Read-only   | videobuf2-core.c             |
| hantro_buf_request_complete          | hantro_ctx                    | driver        | Read-only   | hantro_v4l2.c                |
| hantro_buf_request_complete          | vb2_buffer                    | driver        | Read-only   | hantro_v4l2.c                |
| hantro_buf_request_complete          | vb2_queue                     | driver        | Read-only   | hantro_v4l2.c                |
| hantro_postproc_free                 | hantro_aux_buf                | driver        | Read-only   | hantro_postproc.c            |
| hantro_postproc_free                 | hantro_ctx                    | driver        | Read-only   | hantro_postproc.c            |
| hantro_postproc_free                 | hantro_dev                    | driver        | Read-only   | hantro_postproc.c            |
| hantro_postproc_free                 | hantro_postproc_ctx           | driver        | Read-only   | hantro_postproc.c            |
| hantro_postproc_free                 | vb2_queue                     | driver        | Read-only   | hantro_postproc.c            |
| hantro_queue_setup                   | hantro_ctx                    | driver        | Read-only   | hantro_v4l2.c                |
| hantro_queue_setup                   | vb2_queue                     | driver        | Read-only   | hantro_v4l2.c                |
| hantro_return_bufs                   | hantro_ctx                    | driver        | Read-only   | hantro_v4l2.c                |
| hantro_return_bufs                   | vb2_buffer                    | driver        | Read-only   | hantro_v4l2.c                |
| hantro_return_bufs                   | vb2_queue                     | driver        | Read-only   | hantro_v4l2.c                |
| hantro_return_bufs                   | vb2_v4l2_buffer               | driver        | Read-only   | hantro_v4l2.c                |
| hantro_stop_streaming                | hantro_codec_ops              | driver        | Read-only   | hantro_v4l2.c                |
| hantro_stop_streaming                | hantro_ctx                    | driver        | Read-only   | hantro_v4l2.c                |
| hantro_stop_streaming                | vb2_queue                     | driver        | Read-only   | hantro_v4l2.c                |
| hantro_vq_is_coded                   | hantro_ctx                    | driver        | Read-only   | hantro_v4l2.c                |
| hantro_vq_is_coded                   | vb2_queue                     | driver        | Read-only   | hantro_v4l2.c                |
| init_buffer_cache_hints              | vb2_buffer                    | driver        | Modified    | videobuf2-core.c             |
| init_buffer_cache_hints              | vb2_queue                     | driver        | Read-only   | videobuf2-core.c             |
| rockchip_vpu981_av1_dec_exit         | (unnamed class/struct/union)  | driver        | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| rockchip_vpu981_av1_dec_exit         | hantro_aux_buf                | driver        | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| rockchip_vpu981_av1_dec_exit         | hantro_av1_dec_hw_ctx         | driver        | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| rockchip_vpu981_av1_dec_exit         | hantro_ctx                    | driver        | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| rockchip_vpu981_av1_dec_exit         | hantro_dev                    | driver        | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| rockchip_vpu981_av1_dec_tiles_free   | (unnamed class/struct/union)  | driver        | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| rockchip_vpu981_av1_dec_tiles_free   | hantro_aux_buf                | driver        | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| rockchip_vpu981_av1_dec_tiles_free   | hantro_av1_dec_hw_ctx         | driver        | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| rockchip_vpu981_av1_dec_tiles_free   | hantro_ctx                    | driver        | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| rockchip_vpu981_av1_dec_tiles_free   | hantro_dev                    | driver        | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| set_queue_coherency                  | vb2_queue                     | driver        | Read-only   | videobuf2-core.c             |
| v4l2_m2m_buf_remove                  | vb2_v4l2_buffer               | driver        | Read-only   | v4l2-mem2mem.c               |
| v4l2_m2m_get_vq                      | vb2_queue                     | driver        | Read-only   | v4l2-mem2mem.c               |
| v4l2_m2m_last_buffer_done            | vb2_buffer                    | driver        | Read-only   | v4l2-mem2mem.c               |
| v4l2_m2m_last_buffer_done            | vb2_v4l2_buffer               | driver        | Read-only   | v4l2-mem2mem.c               |
| v4l2_m2m_reqbufs                     | vb2_queue                     | driver        | Read-only   | v4l2-mem2mem.c               |
