Running query: taint_structs.ql on database /home/till/thesis/hantro-db...
|    flow_direction     |             source_function             |              sink_function               |         struct_name          | access_type |             file             |
+-----------------------+-----------------------------------------+------------------------------------------+------------------------------+-------------+------------------------------+
| Driver query → Kernel | hantro_get_src_buf                      | hantro_set_fmt_out                       | (unnamed class/struct/union) | Write       | hantro_v4l2.c                |
| Driver query → Kernel | hantro_get_src_buf                      | hantro_set_fmt_cap                       | (unnamed class/struct/union) | Write       | hantro_v4l2.c                |
| Driver query → Kernel | hantro_get_src_buf                      | hantro_start_prepare_run                 | media_request_object         | Read        | hantro_drv.c                 |
| Driver query → Kernel | hantro_get_src_buf                      | hantro_end_prepare_run                   | media_request_object         | Read        | hantro_drv.c                 |
| Driver query → Kernel | hantro_get_ctrl                         | hantro_get_ctrl                          | v4l2_ctrl                    | Read        | hantro_drv.c                 |
| Driver query → Kernel | hantro_get_src_buf                      | hantro_try_ctrl                          | v4l2_ctrl                    | Read        | hantro_drv.c                 |
| Driver query → Kernel | hantro_get_src_buf                      | hantro_hevc_s_ctrl                       | v4l2_ctrl                    | Read        | hantro_drv.c                 |
| Driver query → Kernel | hantro_get_src_buf                      | hantro_av1_s_ctrl                        | v4l2_ctrl                    | Read        | hantro_drv.c                 |
| Driver query → Kernel | hantro_get_src_buf                      | hantro_vp9_s_ctrl                        | v4l2_ctrl                    | Read        | hantro_drv.c                 |
| Driver query → Kernel | hantro_get_src_buf                      | hantro_jpeg_s_ctrl                       | v4l2_ctrl                    | Read        | hantro_drv.c                 |
| Driver query → Kernel | start_prepare_run                       | start_prepare_run                        | v4l2_ctrl                    | Read        | hantro_g2_vp9_dec.c          |
| Driver query → Kernel | hantro_get_src_buf                      | hantro_try_ctrl                          | v4l2_ctrl_av1_sequence       | Read        | hantro_drv.c                 |
| Driver query → Kernel | hantro_get_src_buf                      | hantro_av1_s_ctrl                        | v4l2_ctrl_av1_sequence       | Read        | hantro_drv.c                 |
| Driver query → Kernel | hantro_get_src_buf                      | hantro_try_ctrl                          | v4l2_ctrl_h264_sps           | Read        | hantro_drv.c                 |
| Driver query → Kernel | hantro_get_ctrl                         | hantro_hevc_validate_sps                 | v4l2_ctrl_hevc_sps           | Read        | hantro_hevc.c                |
| Driver query → Kernel | hantro_get_src_buf                      | hantro_try_ctrl                          | v4l2_ctrl_hevc_sps           | Read        | hantro_drv.c                 |
| Driver query → Kernel | hantro_get_src_buf                      | hantro_hevc_s_ctrl                       | v4l2_ctrl_hevc_sps           | Read        | hantro_drv.c                 |
| Driver query → Kernel | hantro_get_ctrl                         | hantro_g1_mpeg2_dec_run                  | v4l2_ctrl_mpeg2_picture      | Read        | hantro_g1_mpeg2_dec.c        |
| Driver query → Kernel | hantro_get_ctrl                         | rockchip_vpu2_mpeg2_dec_run              | v4l2_ctrl_mpeg2_picture      | Read        | rockchip_vpu2_hw_mpeg2_dec.c |
| Driver query → Kernel | hantro_get_ctrl                         | rockchip_vpu2_mpeg2_dec_set_buffers      | v4l2_ctrl_mpeg2_picture      | Read        | rockchip_vpu2_hw_mpeg2_dec.c |
| Driver query → Kernel | hantro_get_ctrl                         | hantro_g1_mpeg2_dec_set_buffers          | v4l2_ctrl_mpeg2_picture      | Read        | hantro_g1_mpeg2_dec.c        |
| Driver query → Kernel | hantro_get_ctrl                         | hantro_mpeg2_dec_copy_qtable             | v4l2_ctrl_mpeg2_quantisation | Read        | hantro_mpeg2.c               |
| Driver query → Kernel | hantro_get_ctrl                         | hantro_g1_mpeg2_dec_run                  | v4l2_ctrl_mpeg2_sequence     | Read        | hantro_g1_mpeg2_dec.c        |
| Driver query → Kernel | hantro_get_ctrl                         | rockchip_vpu2_mpeg2_dec_run              | v4l2_ctrl_mpeg2_sequence     | Read        | rockchip_vpu2_hw_mpeg2_dec.c |
| Driver query → Kernel | hantro_get_ctrl                         | hantro_get_ctrl                          | v4l2_ctrl_ptr                | Read        | hantro_drv.c                 |
| Driver query → Kernel | hantro_get_src_buf                      | hantro_hevc_s_ctrl                       | v4l2_ctrl_ptr                | Read        | hantro_drv.c                 |
| Driver query → Kernel | hantro_get_src_buf                      | hantro_try_ctrl                          | v4l2_ctrl_ptr                | Read        | hantro_drv.c                 |
| Driver query → Kernel | hantro_get_src_buf                      | hantro_vp9_s_ctrl                        | v4l2_ctrl_ptr                | Read        | hantro_drv.c                 |
| Driver query → Kernel | hantro_get_src_buf                      | hantro_av1_s_ctrl                        | v4l2_ctrl_ptr                | Read        | hantro_drv.c                 |
| Driver query → Kernel | start_prepare_run                       | start_prepare_run                        | v4l2_ctrl_ptr                | Read        | hantro_g2_vp9_dec.c          |
| Driver query → Kernel | hantro_get_ctrl                         | cfg_tap                                  | v4l2_ctrl_vp8_frame          | Read        | hantro_g1_vp8_dec.c          |
| Driver query → Kernel | hantro_get_ctrl                         | cfg_ref                                  | v4l2_ctrl_vp8_frame          | Read        | hantro_g1_vp8_dec.c          |
| Driver query → Kernel | hantro_get_ctrl                         | cfg_buffers                              | v4l2_ctrl_vp8_frame          | Read        | rockchip_vpu2_hw_vp8_dec.c   |
| Driver query → Kernel | hantro_get_ctrl                         | cfg_buffers                              | v4l2_ctrl_vp8_frame          | Read        | hantro_g1_vp8_dec.c          |
| Driver query → Kernel | hantro_get_ctrl                         | cfg_parts                                | v4l2_ctrl_vp8_frame          | Read        | hantro_g1_vp8_dec.c          |
| Driver query → Kernel | hantro_get_ctrl                         | cfg_tap                                  | v4l2_ctrl_vp8_frame          | Read        | rockchip_vpu2_hw_vp8_dec.c   |
| Driver query → Kernel | hantro_get_ctrl                         | cfg_ref                                  | v4l2_ctrl_vp8_frame          | Read        | rockchip_vpu2_hw_vp8_dec.c   |
| Driver query → Kernel | hantro_get_ctrl                         | cfg_lf                                   | v4l2_ctrl_vp8_frame          | Read        | rockchip_vpu2_hw_vp8_dec.c   |
| Driver query → Kernel | hantro_get_ctrl                         | cfg_lf                                   | v4l2_ctrl_vp8_frame          | Read        | hantro_g1_vp8_dec.c          |
| Driver query → Kernel | hantro_get_ctrl                         | hantro_vp8_prob_update                   | v4l2_ctrl_vp8_frame          | Read        | hantro_vp8.c                 |
| Driver query → Kernel | hantro_get_ctrl                         | rockchip_vpu2_vp8_dec_run                | v4l2_ctrl_vp8_frame          | Read        | rockchip_vpu2_hw_vp8_dec.c   |
| Driver query → Kernel | hantro_get_ctrl                         | hantro_g1_vp8_dec_run                    | v4l2_ctrl_vp8_frame          | Read        | hantro_g1_vp8_dec.c          |
| Driver query → Kernel | hantro_get_ctrl                         | cfg_qp                                   | v4l2_ctrl_vp8_frame          | Read        | rockchip_vpu2_hw_vp8_dec.c   |
| Driver query → Kernel | hantro_get_ctrl                         | cfg_qp                                   | v4l2_ctrl_vp8_frame          | Read        | hantro_g1_vp8_dec.c          |
| Driver query → Kernel | hantro_get_ctrl                         | cfg_parts                                | v4l2_ctrl_vp8_frame          | Read        | rockchip_vpu2_hw_vp8_dec.c   |
| Driver query → Kernel | start_prepare_run                       | start_prepare_run                        | v4l2_ctrl_vp9_compressed_hdr | Read        | hantro_g2_vp9_dec.c          |
| Driver query → Kernel | hantro_get_src_buf                      | hantro_vp9_s_ctrl                        | v4l2_ctrl_vp9_frame          | Read        | hantro_drv.c                 |
| Driver query → Kernel | hantro_get_src_buf                      | hantro_try_ctrl                          | v4l2_ctrl_vp9_frame          | Read        | hantro_drv.c                 |
| Driver query → Kernel | start_prepare_run                       | config_bit_depth                         | v4l2_ctrl_vp9_frame          | Read        | hantro_g2_vp9_dec.c          |
| Driver query → Kernel | start_prepare_run                       | config_tiles                             | v4l2_ctrl_vp9_frame          | Read        | hantro_g2_vp9_dec.c          |
| Driver query → Kernel | start_prepare_run                       | config_segment                           | v4l2_ctrl_vp9_frame          | Read        | hantro_g2_vp9_dec.c          |
| Driver query → Kernel | start_prepare_run                       | config_loop_filter                       | v4l2_ctrl_vp9_frame          | Read        | hantro_g2_vp9_dec.c          |
| Driver query → Kernel | start_prepare_run                       | config_quant                             | v4l2_ctrl_vp9_frame          | Read        | hantro_g2_vp9_dec.c          |
| Driver query → Kernel | start_prepare_run                       | config_others                            | v4l2_ctrl_vp9_frame          | Read        | hantro_g2_vp9_dec.c          |
| Driver query → Kernel | start_prepare_run                       | config_compound_reference                | v4l2_ctrl_vp9_frame          | Read        | hantro_g2_vp9_dec.c          |
| Driver query → Kernel | start_prepare_run                       | config_probs                             | v4l2_ctrl_vp9_frame          | Read        | hantro_g2_vp9_dec.c          |
| Driver query → Kernel | start_prepare_run                       | config_seg_map                           | v4l2_ctrl_vp9_frame          | Read        | hantro_g2_vp9_dec.c          |
| Driver query → Kernel | start_prepare_run                       | config_source                            | v4l2_ctrl_vp9_frame          | Read        | hantro_g2_vp9_dec.c          |
| Driver query → Kernel | start_prepare_run                       | config_registers                         | v4l2_ctrl_vp9_frame          | Read        | hantro_g2_vp9_dec.c          |
| Driver query → Kernel | start_prepare_run                       | update_dec_buf_info                      | v4l2_ctrl_vp9_frame          | Read        | hantro_g2_vp9_dec.c          |
| Driver query → Kernel | start_prepare_run                       | update_ctx_cur_info                      | v4l2_ctrl_vp9_frame          | Read        | hantro_g2_vp9_dec.c          |
| Driver query → Kernel | start_prepare_run                       | config_ref_registers                     | v4l2_ctrl_vp9_frame          | Read        | hantro_g2_vp9_dec.c          |
| Driver query → Kernel | hantro_get_src_buf                      | hantro_set_fmt_out                       | v4l2_fh                      | Read        | hantro_v4l2.c                |
| Driver query → Kernel | hantro_get_src_buf                      | hantro_set_fmt_cap                       | v4l2_fh                      | Read        | hantro_v4l2.c                |
| Driver query → Kernel | hantro_get_src_buf                      | hantro_update_requires_request           | v4l2_fh                      | Read        | hantro_v4l2.c                |
| Driver query → Kernel | hantro_get_src_buf                      | hantro_update_requires_hold_capture_buf  | v4l2_fh                      | Read        | hantro_v4l2.c                |
| Driver query → Kernel | hantro_get_ctrl                         | hantro_h264_dec_prepare_run              | v4l2_h264_reflist_builder    | Read        | hantro_h264.c                |
| Driver query → Kernel | hantro_get_dst_buf                      | set_ref                                  | v4l2_m2m_buffer              | Read        | hantro_g2_hevc_dec.c         |
| Driver query → Kernel | hantro_get_dst_buf                      | config_registers                         | v4l2_m2m_buffer              | Read        | hantro_g2_vp9_dec.c          |
| Driver query → Kernel | hantro_get_dst_buf                      | update_ctx_cur_info                      | v4l2_m2m_buffer              | Read        | hantro_g2_vp9_dec.c          |
