"target_function","core_scope","unique_ioctls_calling_this","ioctl_list","file"
"_printk","3_kernel",11,"v4l_dqbuf, v4l_g_fmt, v4l_qbuf, v4l_querybuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamoff, v4l_streamon, v4l_stub_enum_framesizes, v4l_stub_expbuf","printk.h"
"memset","3_kernel",11,"v4l_dqbuf, v4l_enum_fmt, v4l_g_fmt, v4l_qbuf, v4l_query_ext_ctrl, v4l_querybuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamoff, v4l_streamon","string_fortified.h"
"video_devdata","2_SubSystem",10,"v4l_dqbuf, v4l_enum_fmt, v4l_g_fmt, v4l_qbuf, v4l_query_ext_ctrl, v4l_querybuf, v4l_querycap, v4l_reqbufs, v4l_s_ext_ctrls, v4l_s_fmt","v4l2-dev.c"
"file_inode","3_kernel",10,"v4l_dqbuf, v4l_enum_fmt, v4l_g_fmt, v4l_qbuf, v4l_query_ext_ctrl, v4l_querybuf, v4l_querycap, v4l_reqbufs, v4l_s_ext_ctrls, v4l_s_fmt","fs.h"
"iminor","3_kernel",10,"v4l_dqbuf, v4l_enum_fmt, v4l_g_fmt, v4l_qbuf, v4l_query_ext_ctrl, v4l_querybuf, v4l_querycap, v4l_reqbufs, v4l_s_ext_ctrls, v4l_s_fmt","fs.h"
"get_queue_ctx","2_SubSystem",9,"v4l_dqbuf, v4l_qbuf, v4l_querybuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamoff, v4l_streamon, v4l_stub_expbuf","v4l2-mem2mem.c"
"mutex_unlock","3_kernel",8,"v4l_dqbuf, v4l_qbuf, v4l_query_ext_ctrl, v4l_reqbufs, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamoff, v4l_streamon","mutex.h"
"v4l2_m2m_get_vq","2_SubSystem",8,"v4l_dqbuf, v4l_qbuf, v4l_querybuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon, v4l_stub_expbuf","v4l2-mem2mem.c"
"generic_test_bit","3_kernel",8,"v4l_qbuf, v4l_query_ext_ctrl, v4l_querybuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon, v4l_stub_expbuf","generic-non-atomic.h"
"mutex_lock","3_kernel",8,"v4l_dqbuf, v4l_qbuf, v4l_query_ext_ctrl, v4l_reqbufs, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamoff, v4l_streamon","mutex.h"
"const_test_bit","3_kernel",8,"v4l_qbuf, v4l_query_ext_ctrl, v4l_querybuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon, v4l_stub_expbuf","generic-non-atomic.h"
"list_is_head","3_kernel",7,"v4l_dqbuf, v4l_qbuf, v4l_query_ext_ctrl, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","list.h"
"check_fmt","2_SubSystem",7,"v4l_dqbuf, v4l_enum_fmt, v4l_g_fmt, v4l_qbuf, v4l_querybuf, v4l_reqbufs, v4l_s_fmt","v4l2-ioctl.c"
"list_empty","3_kernel",7,"v4l_dqbuf, v4l_qbuf, v4l_query_ext_ctrl, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","list.h"
"kfree","3_kernel",7,"v4l_dqbuf, v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon, v4l_stub_expbuf","slab.h"
"hantro_get_formats","1_Driver",6,"v4l_enum_fmt, v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon, v4l_stub_enum_framesizes","hantro_v4l2.c"
"__raw_spin_lock_irqsave","3_kernel",6,"v4l_dqbuf, v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","spinlock_api_smp.h"
"vb2_get_buffer","2_SubSystem",6,"v4l_qbuf, v4l_querybuf, v4l_reqbufs, v4l_streamoff, v4l_streamon, v4l_stub_expbuf","videobuf2-core.h"
