Running query: recursive_function_calls.ql on database /home/till/thesis/hantro-db...
|                     col0                     |             col1             |
+----------------------------------------------+------------------------------+
| __compiletime_assert_8                       | ioport.h                     |
| __compiletime_assert_8                       | cmpxchg.h                    |
| __compiletime_assert_8                       | gettimeofday.c               |
| __compiletime_assert_18                      | list.h                       |
| list_empty                                   | list.h                       |
| list_is_head                                 | list.h                       |
| list_del_init                                | list.h                       |
| list_del                                     | list.h                       |
| __list_del_entry                             | list.h                       |
| __compiletime_assert_17                      | list.h                       |
| __compiletime_assert_17                      | lock.h                       |
| __list_del                                   | list.h                       |
| list_add_tail                                | list.h                       |
| list_add                                     | list.h                       |
| __compiletime_assert_16                      | list.h                       |
| __compiletime_assert_16                      | lock.h                       |
| __list_add                                   | list.h                       |
| __list_del_entry_valid                       | list.h                       |
| __list_add_valid                             | list.h                       |
| __compiletime_assert_15                      | list.h                       |
| __compiletime_assert_15                      | atomic-arch-fallback.h       |
| __compiletime_assert_14                      | list.h                       |
| __compiletime_assert_14                      | atomic-arch-fallback.h       |
| INIT_LIST_HEAD                               | list.h                       |
| generic_test_bit                             | generic-non-atomic.h         |
| _printk                                      | printk.h                     |
| pfn_valid                                    | mmzone.h                     |
| __cond_resched                               | kernel.h                     |
| __cond_resched                               | sched.h                      |
| find_next_bit                                | find.h                       |
| _find_next_bit                               | find.h                       |
| generic___set_bit                            | generic-non-atomic.h         |
| bitmap_weight                                | bitmap.h                     |
| bitmap_find_next_zero_area                   | bitmap.h                     |
| bitmap_find_next_zero_area_off               | bitmap.h                     |
| __bitmap_weight                              | bitmap.h                     |
| bitmap_free                                  | bitmap.h                     |
| bitmap_zalloc                                | bitmap.h                     |
| system_uses_irq_prio_masking                 | cpufeature.h                 |
| arch_local_irq_restore                       | irqflags.h                   |
| __pmr_local_irq_restore                      | irqflags.h                   |
| __daif_local_irq_restore                     | irqflags.h                   |
| arch_local_irq_save                          | irqflags.h                   |
| __pmr_local_irq_save                         | irqflags.h                   |
| __daif_local_irq_save                        | irqflags.h                   |
| __pmr_irqs_disabled_flags                    | irqflags.h                   |
| __pmr_local_save_flags                       | irqflags.h                   |
| __daif_local_save_flags                      | irqflags.h                   |
| arch_local_irq_disable                       | irqflags.h                   |
| __pmr_local_irq_disable                      | irqflags.h                   |
| __daif_local_irq_disable                     | irqflags.h                   |
| arch_local_irq_enable                        | irqflags.h                   |
| __pmr_local_irq_enable                       | irqflags.h                   |
| __daif_local_irq_enable                      | irqflags.h                   |
| __compiletime_assert_188                     | qspinlock.h                  |
| __compiletime_assert_188                     | sched.h                      |
| queued_spin_unlock                           | qspinlock.h                  |
| queued_spin_lock                             | qspinlock.h                  |
| queued_spin_lock_slowpath                    | qspinlock.h                  |
| queued_spin_is_locked                        | qspinlock.h                  |
| cpu_relax                                    | processor.h                  |
| __raw_spin_unlock_irq                        | spinlock_api_smp.h           |
| __raw_spin_unlock_irqrestore                 | spinlock_api_smp.h           |
| do_raw_spin_lock                             | spinlock.h                   |
| __raw_spin_lock_irq                          | spinlock_api_smp.h           |
| __raw_spin_lock_irqsave                      | spinlock_api_smp.h           |
| class_spinlock_irqsave_constructor           | spinlock.h                   |
| spin_unlock_irqrestore                       | spinlock.h                   |
| spin_unlock_irq                              | spinlock.h                   |
| spin_lock_irq                                | spinlock.h                   |
| spinlock_check                               | spinlock.h                   |
| do_raw_spin_unlock                           | spinlock.h                   |
| finish_wait                                  | wait.h                       |
| prepare_to_wait_event                        | wait.h                       |
| init_wait_entry                              | wait.h                       |
| __wake_up                                    | wait.h                       |
| mutex_unlock                                 | mutex.h                      |
| mutex_lock_interruptible                     | mutex.h                      |
| mutex_lock                                   | mutex.h                      |
| __mutex_init                                 | mutex.h                      |
| mutex_destroy                                | mutex.h                      |
| get_order                                    | getorder.h                   |
| refcount_dec_and_test                        | refcount.h                   |
| __refcount_dec_and_test                      | refcount.h                   |
| __refcount_sub_and_test                      | refcount.h                   |
| refcount_inc                                 | refcount.h                   |
| __refcount_inc                               | refcount.h                   |
| __refcount_add                               | refcount.h                   |
| refcount_read                                | refcount.h                   |
| refcount_set                                 | refcount.h                   |
| refcount_warn_saturate                       | refcount.h                   |
| kref_put                                     | kref.h                       |
| kref_get                                     | kref.h                       |
| kref_init                                    | kref.h                       |
| rcu_is_watching                              | rcutree.h                    |
| rcu_read_unlock_sched                        | rcupdate.h                   |
| rcu_read_lock_sched                          | rcupdate.h                   |
| __init_swait_queue_head                      | swait.h                      |
| wait_for_completion_timeout                  | completion.h                 |
| reinit_completion                            | completion.h                 |
| init_completion                              | completion.h                 |
| div_u64                                      | math64.h                     |
| div_u64_rem                                  | math64.h                     |
| schedule                                     | sched.h                      |
| schedule_timeout                             | sched.h                      |
| msecs_to_jiffies                             | jiffies.h                    |
| _msecs_to_jiffies                            | jiffies.h                    |
| __msecs_to_jiffies                           | jiffies.h                    |
| ktime_get_mono_fast_ns                       | timekeeping.h                |
| ktime_get_ns                                 | timekeeping.h                |
| ktime_get                                    | timekeeping.h                |
| ktime_add_us                                 | ktime.h                      |
| ktime_compare                                | ktime.h                      |
| ktime_to_ns                                  | ktime.h                      |
| __warn_flushing_systemwide_wq                | workqueue.h                  |
| schedule_work                                | workqueue.h                  |
| queue_work                                   | workqueue.h                  |
| __flush_workqueue                            | workqueue.h                  |
| queue_work_on                                | workqueue.h                  |
| __compiletime_assert_256                     | mmzone.h                     |
| __compiletime_assert_256                     | xarray.h                     |
| pfn_section_valid                            | mmzone.h                     |
| subsection_map_index                         | mmzone.h                     |
| __pfn_to_section                             | mmzone.h                     |
| early_section                                | mmzone.h                     |
| valid_section                                | mmzone.h                     |
| __nr_to_section                              | mmzone.h                     |
| pfn_to_section_nr                            | mmzone.h                     |
| __free_pages                                 | gfp.h                        |
| alloc_pages_noprof                           | gfp.h                        |
| kvfree                                       | slab.h                       |
| kvmalloc_array_node_noprof                   | slab.h                       |
| __kvmalloc_node_noprof                       | slab.h                       |
| kzalloc_noprof                               | slab.h                       |
| kmalloc_array_noprof                         | slab.h                       |
| kmalloc_noprof                               | slab.h                       |
| __kmalloc_large_noprof                       | slab.h                       |
| __kmalloc_cache_noprof                       | slab.h                       |
| __kmalloc_noprof                             | slab.h                       |
| __compiletime_assert_262                     | slab.h                       |
| __kmalloc_index                              | slab.h                       |
| kmalloc_type                                 | slab.h                       |
| kfree                                        | slab.h                       |
| krealloc_noprof                              | slab.h                       |
| _dev_info                                    | dev_printk.h                 |
