Running query: resolve_qop.ql on database /home/till/thesis/bsp/.src/linux/hantro-db...
|   ops_struct   |             field             |      resolved_function      |       defined_in       | line |    kind     |
+----------------+-------------------------------+-----------------------------+------------------------+------+-------------+
| v4l2_ioctl_ops | vidioc_dqbuf                  | v4l2_m2m_ioctl_dqbuf        | hantro_v4l2.c          |  736 | static init |
| v4l2_ioctl_ops | vidioc_g_fmt_vid_cap_mplane   | vidioc_g_fmt_cap_mplane     | hantro_v4l2.c          |  736 | static init |
| v4l2_ioctl_ops | vidioc_g_fmt_vid_out_mplane   | vidioc_g_fmt_out_mplane     | hantro_v4l2.c          |  736 | static init |
| v4l2_ioctl_ops | vidioc_qbuf                   | v4l2_m2m_ioctl_qbuf         | hantro_v4l2.c          |  736 | static init |
| v4l2_ioctl_ops | vidioc_querybuf               | v4l2_m2m_ioctl_querybuf     | hantro_v4l2.c          |  736 | static init |
| v4l2_ioctl_ops | vidioc_querycap               | vidioc_querycap             | hantro_v4l2.c          |  736 | static init |
| v4l2_ioctl_ops | vidioc_reqbufs                | v4l2_m2m_ioctl_reqbufs      | hantro_v4l2.c          |  736 | static init |
| v4l2_ioctl_ops | vidioc_s_fmt_vid_cap_mplane   | vidioc_s_fmt_cap_mplane     | hantro_v4l2.c          |  736 | static init |
| v4l2_ioctl_ops | vidioc_s_fmt_vid_out_mplane   | vidioc_s_fmt_out_mplane     | hantro_v4l2.c          |  736 | static init |
| v4l2_ioctl_ops | vidioc_streamoff              | v4l2_m2m_ioctl_streamoff    | hantro_v4l2.c          |  736 | static init |
| v4l2_ioctl_ops | vidioc_streamon               | v4l2_m2m_ioctl_streamon     | hantro_v4l2.c          |  736 | static init |
| v4l2_ioctl_ops | vidioc_subscribe_event        | v4l2_ctrl_subscribe_event   | hantro_v4l2.c          |  736 | static init |
| v4l2_ioctl_ops | vidioc_try_fmt_vid_cap_mplane | vidioc_try_fmt_cap_mplane   | hantro_v4l2.c          |  736 | static init |
| v4l2_ioctl_ops | vidioc_try_fmt_vid_out_mplane | vidioc_try_fmt_out_mplane   | hantro_v4l2.c          |  736 | static init |
| v4l2_ioctl_ops | vidioc_unsubscribe_event      | v4l2_event_unsubscribe      | hantro_v4l2.c          |  736 | static init |
| v4l2_m2m_ops   | device_run                    | device_run                  | hantro_drv.c           |  198 | static init |
| vb2_mem_ops    | alloc                         | vb2_dma_sg_alloc            | videobuf2-dma-sg.c     |  657 | static init |
| vb2_mem_ops    | alloc                         | vb2_vmalloc_alloc           | videobuf2-vmalloc.c    |  424 | static init |
| vb2_mem_ops    | alloc                         | vb2_dc_alloc                | videobuf2-dma-contig.c |  807 | static init |
| vb2_mem_ops    | attach_dmabuf                 | vb2_dma_sg_attach_dmabuf    | videobuf2-dma-sg.c     |  657 | static init |
| vb2_mem_ops    | attach_dmabuf                 | vb2_dc_attach_dmabuf        | videobuf2-dma-contig.c |  807 | static init |
| vb2_mem_ops    | attach_dmabuf                 | vb2_vmalloc_attach_dmabuf   | videobuf2-vmalloc.c    |  424 | static init |
| vb2_mem_ops    | cookie                        | vb2_dc_cookie               | videobuf2-dma-contig.c |  807 | static init |
| vb2_mem_ops    | cookie                        | vb2_dma_sg_cookie           | videobuf2-dma-sg.c     |  657 | static init |
| vb2_mem_ops    | detach_dmabuf                 | vb2_vmalloc_detach_dmabuf   | videobuf2-vmalloc.c    |  424 | static init |
| vb2_mem_ops    | detach_dmabuf                 | vb2_dma_sg_detach_dmabuf    | videobuf2-dma-sg.c     |  657 | static init |
| vb2_mem_ops    | detach_dmabuf                 | vb2_dc_detach_dmabuf        | videobuf2-dma-contig.c |  807 | static init |
| vb2_mem_ops    | finish                        | vb2_dc_finish               | videobuf2-dma-contig.c |  807 | static init |
| vb2_mem_ops    | finish                        | vb2_dma_sg_finish           | videobuf2-dma-sg.c     |  657 | static init |
| vb2_mem_ops    | get_dmabuf                    | vb2_vmalloc_get_dmabuf      | videobuf2-vmalloc.c    |  424 | static init |
| vb2_mem_ops    | get_dmabuf                    | vb2_dc_get_dmabuf           | videobuf2-dma-contig.c |  807 | static init |
| vb2_mem_ops    | get_dmabuf                    | vb2_dma_sg_get_dmabuf       | videobuf2-dma-sg.c     |  657 | static init |
| vb2_mem_ops    | map_dmabuf                    | vb2_dc_map_dmabuf           | videobuf2-dma-contig.c |  807 | static init |
| vb2_mem_ops    | map_dmabuf                    | vb2_vmalloc_map_dmabuf      | videobuf2-vmalloc.c    |  424 | static init |
| vb2_mem_ops    | map_dmabuf                    | vb2_dma_sg_map_dmabuf       | videobuf2-dma-sg.c     |  657 | static init |
| vb2_mem_ops    | num_users                     | vb2_dma_sg_num_users        | videobuf2-dma-sg.c     |  657 | static init |
| vb2_mem_ops    | num_users                     | vb2_dc_num_users            | videobuf2-dma-contig.c |  807 | static init |
| vb2_mem_ops    | num_users                     | vb2_vmalloc_num_users       | videobuf2-vmalloc.c    |  424 | static init |
| vb2_mem_ops    | prepare                       | vb2_dc_prepare              | videobuf2-dma-contig.c |  807 | static init |
| vb2_mem_ops    | prepare                       | vb2_dma_sg_prepare          | videobuf2-dma-sg.c     |  657 | static init |
| vb2_mem_ops    | put                           | vb2_vmalloc_put             | videobuf2-vmalloc.c    |  424 | static init |
| vb2_mem_ops    | put                           | vb2_dc_put                  | videobuf2-dma-contig.c |  807 | static init |
| vb2_mem_ops    | put                           | vb2_dma_sg_put              | videobuf2-dma-sg.c     |  657 | static init |
| vb2_mem_ops    | unmap_dmabuf                  | vb2_vmalloc_unmap_dmabuf    | videobuf2-vmalloc.c    |  424 | static init |
| vb2_mem_ops    | unmap_dmabuf                  | vb2_dma_sg_unmap_dmabuf     | videobuf2-dma-sg.c     |  657 | static init |
| vb2_mem_ops    | unmap_dmabuf                  | vb2_dc_unmap_dmabuf         | videobuf2-dma-contig.c |  807 | static init |
| vb2_mem_ops    | vaddr                         | vb2_vmalloc_vaddr           | videobuf2-vmalloc.c    |  424 | static init |
| vb2_mem_ops    | vaddr                         | vb2_dma_sg_vaddr            | videobuf2-dma-sg.c     |  657 | static init |
| vb2_mem_ops    | vaddr                         | vb2_dc_vaddr                | videobuf2-dma-contig.c |  807 | static init |
| vb2_ops        | buf_prepare                   | hantro_buf_prepare          | hantro_v4l2.c          |  991 | static init |
| vb2_ops        | buf_queue                     | hantro_buf_queue            | hantro_v4l2.c          |  991 | static init |
| vb2_ops        | buf_request_complete          | hantro_buf_request_complete | hantro_v4l2.c          |  991 | static init |
| vb2_ops        | queue_setup                   | hantro_queue_setup          | hantro_v4l2.c          |  991 | static init |
| vb2_ops        | start_streaming               | hantro_start_streaming      | hantro_v4l2.c          |  991 | static init |
| vb2_ops        | stop_streaming                | hantro_stop_streaming       | hantro_v4l2.c          |  991 | static init |
| vb2_ops        | wait_finish                   | vb2_ops_wait_finish         | hantro_v4l2.c          |  991 | static init |
| vb2_ops        | wait_prepare                  | vb2_ops_wait_prepare        | hantro_v4l2.c          |  991 | static init |
