Running query: find_untracked_calls.ql on database /home/till/thesis/hantro-db...
|      ops_struct       |      field      |          called_from           |       file        | line |        implementation_func         | implementation_file | impl_line |
+-----------------------+-----------------+--------------------------------+-------------------+------+------------------------------------+---------------------+-----------+
| v4l2_subdev_pad_ops   | disable_streams | v4l2_subdev_disable_streams    | v4l2-subdev.c     | 2400 | mxc_isi_crossbar_disable_streams   | imx8-isi-crossbar.c |       368 |
| v4l2_subdev_pad_ops   | enable_streams  | v4l2_subdev_enable_streams     | v4l2-subdev.c     | 2302 | mxc_isi_crossbar_enable_streams    | imx8-isi-crossbar.c |       321 |
| v4l2_subdev_video_ops | s_stream        | v4l2_subdev_disable_streams    | v4l2-subdev.c     | 2406 | imx219_set_stream                  | imx219.c            |       743 |
| v4l2_subdev_video_ops | s_stream        | v4l2_subdev_disable_streams    | v4l2-subdev.c     | 2406 | imx412_set_stream                  | imx412.c            |       850 |
| v4l2_subdev_video_ops | s_stream        | v4l2_subdev_disable_streams    | v4l2-subdev.c     | 2406 | imx415_s_stream                    | imx415.c            |       948 |
| v4l2_subdev_video_ops | s_stream        | v4l2_subdev_disable_streams    | v4l2-subdev.c     | 2406 | ov4689_s_stream                    | ov4689.c            |       450 |
| v4l2_subdev_video_ops | s_stream        | v4l2_subdev_disable_streams    | v4l2-subdev.c     | 2406 | ov5640_s_stream                    | ov5640.c            |      3710 |
| v4l2_subdev_video_ops | s_stream        | v4l2_subdev_disable_streams    | v4l2-subdev.c     | 2406 | ov5645_s_stream                    | ov5645.c            |       977 |
| v4l2_subdev_video_ops | s_stream        | v4l2_subdev_disable_streams    | v4l2-subdev.c     | 2406 | ov5647_s_stream                    | ov5647.c            |       893 |
| v4l2_subdev_video_ops | s_stream        | v4l2_subdev_disable_streams    | v4l2-subdev.c     | 2406 | ov5648_s_stream                    | ov5648.c            |      2134 |
| v4l2_subdev_video_ops | s_stream        | v4l2_subdev_disable_streams    | v4l2-subdev.c     | 2406 | ov5695_s_stream                    | ov5695.c            |       930 |
| v4l2_subdev_video_ops | s_stream        | v4l2_subdev_disable_streams    | v4l2-subdev.c     | 2406 | ov7251_s_stream                    | ov7251.c            |      1335 |
| v4l2_subdev_video_ops | s_stream        | v4l2_subdev_disable_streams    | v4l2-subdev.c     | 2406 | csi2rx_s_stream                    | cdns-csi2rx.c       |       364 |
| v4l2_subdev_video_ops | s_stream        | v4l2_subdev_disable_streams    | v4l2-subdev.c     | 2406 | mipi_csis_s_stream                 | imx-mipi-csis.c     |       959 |
| v4l2_subdev_video_ops | s_stream        | v4l2_subdev_disable_streams    | v4l2-subdev.c     | 2406 | imx7_csi_s_stream                  | imx7-media-csi.c    |      1711 |
| v4l2_subdev_video_ops | s_stream        | v4l2_subdev_disable_streams    | v4l2-subdev.c     | 2406 | csid_set_stream                    | camss-csid.c        |       680 |
| v4l2_subdev_video_ops | s_stream        | v4l2_subdev_disable_streams    | v4l2-subdev.c     | 2406 | csiphy_set_stream                  | camss-csiphy.c      |       309 |
| v4l2_subdev_video_ops | s_stream        | v4l2_subdev_disable_streams    | v4l2-subdev.c     | 2406 | ispif_set_stream                   | camss-ispif.c       |       802 |
| v4l2_subdev_video_ops | s_stream        | v4l2_subdev_disable_streams    | v4l2-subdev.c     | 2406 | vfe_set_stream                     | camss-vfe.c         |       941 |
| v4l2_subdev_video_ops | s_stream        | v4l2_subdev_disable_streams    | v4l2-subdev.c     | 2406 | rcsi2_s_stream                     | rcar-csi2.c         |      1163 |
| v4l2_subdev_video_ops | s_stream        | v4l2_subdev_disable_streams    | v4l2-subdev.c     | 2406 | risp_s_stream                      | rcar-isp.c          |       239 |
| v4l2_subdev_video_ops | s_stream        | v4l2_subdev_disable_streams    | v4l2-subdev.c     | 2406 | rzg2l_csi2_s_stream                | rzg2l-csi2.c        |       434 |
| v4l2_subdev_video_ops | s_stream        | v4l2_subdev_disable_streams    | v4l2-subdev.c     | 2406 | rzg2l_cru_ip_s_stream              | rzg2l-ip.c          |        49 |
| v4l2_subdev_video_ops | s_stream        | v4l2_subdev_disable_streams    | v4l2-subdev.c     | 2406 | sun6i_csi_bridge_s_stream          | sun6i_csi_bridge.c  |       408 |
| v4l2_subdev_video_ops | s_stream        | v4l2_subdev_disable_streams    | v4l2-subdev.c     | 2406 | call_s_stream                      | v4l2-subdev.c       |       446 |
| v4l2_subdev_video_ops | s_stream        | v4l2_subdev_enable_streams     | v4l2-subdev.c     | 2307 | imx219_set_stream                  | imx219.c            |       743 |
| v4l2_subdev_video_ops | s_stream        | v4l2_subdev_enable_streams     | v4l2-subdev.c     | 2307 | imx412_set_stream                  | imx412.c            |       850 |
| v4l2_subdev_video_ops | s_stream        | v4l2_subdev_enable_streams     | v4l2-subdev.c     | 2307 | imx415_s_stream                    | imx415.c            |       948 |
| v4l2_subdev_video_ops | s_stream        | v4l2_subdev_enable_streams     | v4l2-subdev.c     | 2307 | ov4689_s_stream                    | ov4689.c            |       450 |
| v4l2_subdev_video_ops | s_stream        | v4l2_subdev_enable_streams     | v4l2-subdev.c     | 2307 | ov5640_s_stream                    | ov5640.c            |      3710 |
| v4l2_subdev_video_ops | s_stream        | v4l2_subdev_enable_streams     | v4l2-subdev.c     | 2307 | ov5645_s_stream                    | ov5645.c            |       977 |
| v4l2_subdev_video_ops | s_stream        | v4l2_subdev_enable_streams     | v4l2-subdev.c     | 2307 | ov5647_s_stream                    | ov5647.c            |       893 |
| v4l2_subdev_video_ops | s_stream        | v4l2_subdev_enable_streams     | v4l2-subdev.c     | 2307 | ov5648_s_stream                    | ov5648.c            |      2134 |
| v4l2_subdev_video_ops | s_stream        | v4l2_subdev_enable_streams     | v4l2-subdev.c     | 2307 | ov5695_s_stream                    | ov5695.c            |       930 |
| v4l2_subdev_video_ops | s_stream        | v4l2_subdev_enable_streams     | v4l2-subdev.c     | 2307 | ov7251_s_stream                    | ov7251.c            |      1335 |
| v4l2_subdev_video_ops | s_stream        | v4l2_subdev_enable_streams     | v4l2-subdev.c     | 2307 | csi2rx_s_stream                    | cdns-csi2rx.c       |       364 |
| v4l2_subdev_video_ops | s_stream        | v4l2_subdev_enable_streams     | v4l2-subdev.c     | 2307 | mipi_csis_s_stream                 | imx-mipi-csis.c     |       959 |
| v4l2_subdev_video_ops | s_stream        | v4l2_subdev_enable_streams     | v4l2-subdev.c     | 2307 | imx7_csi_s_stream                  | imx7-media-csi.c    |      1711 |
| v4l2_subdev_video_ops | s_stream        | v4l2_subdev_enable_streams     | v4l2-subdev.c     | 2307 | csid_set_stream                    | camss-csid.c        |       680 |
| v4l2_subdev_video_ops | s_stream        | v4l2_subdev_enable_streams     | v4l2-subdev.c     | 2307 | csiphy_set_stream                  | camss-csiphy.c      |       309 |
| v4l2_subdev_video_ops | s_stream        | v4l2_subdev_enable_streams     | v4l2-subdev.c     | 2307 | ispif_set_stream                   | camss-ispif.c       |       802 |
| v4l2_subdev_video_ops | s_stream        | v4l2_subdev_enable_streams     | v4l2-subdev.c     | 2307 | vfe_set_stream                     | camss-vfe.c         |       941 |
| v4l2_subdev_video_ops | s_stream        | v4l2_subdev_enable_streams     | v4l2-subdev.c     | 2307 | rcsi2_s_stream                     | rcar-csi2.c         |      1163 |
| v4l2_subdev_video_ops | s_stream        | v4l2_subdev_enable_streams     | v4l2-subdev.c     | 2307 | risp_s_stream                      | rcar-isp.c          |       239 |
| v4l2_subdev_video_ops | s_stream        | v4l2_subdev_enable_streams     | v4l2-subdev.c     | 2307 | rzg2l_csi2_s_stream                | rzg2l-csi2.c        |       434 |
| v4l2_subdev_video_ops | s_stream        | v4l2_subdev_enable_streams     | v4l2-subdev.c     | 2307 | rzg2l_cru_ip_s_stream              | rzg2l-ip.c          |        49 |
| v4l2_subdev_video_ops | s_stream        | v4l2_subdev_enable_streams     | v4l2-subdev.c     | 2307 | sun6i_csi_bridge_s_stream          | sun6i_csi_bridge.c  |       408 |
| v4l2_subdev_video_ops | s_stream        | v4l2_subdev_enable_streams     | v4l2-subdev.c     | 2307 | call_s_stream                      | v4l2-subdev.c       |       446 |
| v4l2_m2m_ops          | job_abort       | v4l2_m2m_cancel_job            | v4l2-mem2mem.c    |  431 | vpu_m2m_job_abort                  | vpu_v4l2.c          |       456 |
| v4l2_m2m_ops          | job_abort       | v4l2_m2m_cancel_job            | v4l2-mem2mem.c    |  431 | wave5_vpu_dec_job_abort            | wave5-vpu-dec.c     |      1719 |
| v4l2_m2m_ops          | job_abort       | v4l2_m2m_cancel_job            | v4l2-mem2mem.c    |  431 | m2mops_vdec_job_abort              | mtk_vcodec_dec.c    |       959 |
| v4l2_m2m_ops          | job_abort       | v4l2_m2m_cancel_job            | v4l2-mem2mem.c    |  431 | m2mops_venc_job_abort              | mtk_vcodec_enc.c    |      1246 |
| v4l2_m2m_ops          | job_abort       | v4l2_m2m_cancel_job            | v4l2-mem2mem.c    |  431 | venus_helper_m2m_job_abort         | helpers.c           |      1696 |
| v4l2_m2m_ops          | job_abort       | v4l2_m2m_cancel_job            | v4l2-mem2mem.c    |  431 | fdp1_m2m_job_abort                 | rcar_fdp1.c         |      1160 |
| v4l2_m2m_ops          | job_abort       | v4l2_m2m_cancel_job            | v4l2-mem2mem.c    |  431 | gsc_m2m_job_abort                  | gsc-m2m.c           |       115 |
| v4l2_m2m_ops          | job_ready       | __v4l2_m2m_try_queue           | v4l2-mem2mem.c    |  365 | wave5_vpu_dec_job_ready            | wave5-vpu-dec.c     |      1734 |
| v4l2_m2m_ops          | job_ready       | __v4l2_m2m_try_queue           | v4l2-mem2mem.c    |  365 | wave5_vpu_enc_job_ready            | wave5-vpu-enc.c     |      1500 |
| v4l2_m2m_ops          | job_ready       | __v4l2_m2m_try_queue           | v4l2-mem2mem.c    |  365 | mtk_jpeg_dec_job_ready             | mtk_jpeg_core.c     |      1049 |
| v4l2_m2m_ops          | job_ready       | __v4l2_m2m_try_queue           | v4l2-mem2mem.c    |  365 | m2mops_vdec_job_ready              | mtk_vcodec_dec.c    |       940 |
| v4l2_m2m_ops          | job_ready       | __v4l2_m2m_try_queue           | v4l2-mem2mem.c    |  365 | m2mops_venc_job_ready              | mtk_vcodec_enc.c    |      1234 |
| v4l2_m2m_ops          | job_ready       | __v4l2_m2m_try_queue           | v4l2-mem2mem.c    |  365 | mxc_jpeg_job_ready                 | mxc-jpeg.c          |      1406 |
| v4l2_m2m_ops          | job_ready       | __v4l2_m2m_try_queue           | v4l2-mem2mem.c    |  365 | fdp1_m2m_job_ready                 | rcar_fdp1.c         |      1136 |
| v4l2_m2m_ops          | job_ready       | __v4l2_m2m_try_queue           | v4l2-mem2mem.c    |  365 | s5p_jpeg_job_ready                 | jpeg-core.c         |      2413 |
| v4l2_m2m_ops          | device_run      | v4l2_m2m_try_run               | v4l2-mem2mem.c    |  284 | device_run                         | hantro_drv.c        |       170 |
| v4l2_m2m_ops          | device_run      | v4l2_m2m_try_run               | v4l2-mem2mem.c    |  284 | vpu_m2m_device_run                 | vpu_v4l2.c          |       452 |
| v4l2_m2m_ops          | device_run      | v4l2_m2m_try_run               | v4l2-mem2mem.c    |  284 | wave5_vpu_dec_device_run           | wave5-vpu-dec.c     |      1624 |
| v4l2_m2m_ops          | device_run      | v4l2_m2m_try_run               | v4l2-mem2mem.c    |  284 | wave5_vpu_enc_device_run           | wave5-vpu-enc.c     |      1470 |
| v4l2_m2m_ops          | device_run      | v4l2_m2m_try_run               | v4l2-mem2mem.c    |  284 | e5010_device_run                   | e5010-jpeg-enc.c    |      1336 |
| v4l2_m2m_ops          | device_run      | v4l2_m2m_try_run               | v4l2-mem2mem.c    |  284 | mtk_jpeg_dec_device_run            | mtk_jpeg_core.c     |       996 |
| v4l2_m2m_ops          | device_run      | v4l2_m2m_try_run               | v4l2-mem2mem.c    |  284 | mtk_jpeg_multicore_dec_device_run  | mtk_jpeg_core.c     |       988 |
| v4l2_m2m_ops          | device_run      | v4l2_m2m_try_run               | v4l2-mem2mem.c    |  284 | mtk_jpeg_multicore_enc_device_run  | mtk_jpeg_core.c     |       980 |
| v4l2_m2m_ops          | device_run      | v4l2_m2m_try_run               | v4l2-mem2mem.c    |  284 | mtk_jpeg_enc_device_run            | mtk_jpeg_core.c     |       938 |
| v4l2_m2m_ops          | device_run      | v4l2_m2m_try_run               | v4l2-mem2mem.c    |  284 | m2mops_vdec_device_run             | mtk_vcodec_dec.c    |       932 |
| v4l2_m2m_ops          | device_run      | v4l2_m2m_try_run               | v4l2-mem2mem.c    |  284 | m2mops_venc_device_run             | mtk_vcodec_enc.c    |      1218 |
| v4l2_m2m_ops          | device_run      | v4l2_m2m_try_run               | v4l2-mem2mem.c    |  284 | mxc_jpeg_device_run                | mxc-jpeg.c          |      1430 |
| v4l2_m2m_ops          | device_run      | v4l2_m2m_try_run               | v4l2-mem2mem.c    |  284 | mxc_isi_m2m_device_run             | imx8-isi-m2m.c      |       121 |
| v4l2_m2m_ops          | device_run      | v4l2_m2m_try_run               | v4l2-mem2mem.c    |  284 | venus_helper_m2m_device_run        | helpers.c           |      1671 |
| v4l2_m2m_ops          | device_run      | v4l2_m2m_try_run               | v4l2-mem2mem.c    |  284 | vdec_m2m_device_run                | vdec.c              |      1621 |
| v4l2_m2m_ops          | device_run      | v4l2_m2m_try_run               | v4l2-mem2mem.c    |  284 | fdp1_m2m_device_run                | rcar_fdp1.c         |      1262 |
| v4l2_m2m_ops          | device_run      | v4l2_m2m_try_run               | v4l2-mem2mem.c    |  284 | rkvdec2_device_run                 | rkvdec2.c           |       786 |
| v4l2_m2m_ops          | device_run      | v4l2_m2m_try_run               | v4l2-mem2mem.c    |  284 | gsc_m2m_device_run                 | gsc-m2m.c           |       144 |
| v4l2_m2m_ops          | device_run      | v4l2_m2m_try_run               | v4l2-mem2mem.c    |  284 | exynos3250_jpeg_device_run         | jpeg-core.c         |      2322 |
| v4l2_m2m_ops          | device_run      | v4l2_m2m_try_run               | v4l2-mem2mem.c    |  284 | exynos4_jpeg_device_run            | jpeg-core.c         |      2193 |
| v4l2_m2m_ops          | device_run      | v4l2_m2m_try_run               | v4l2-mem2mem.c    |  284 | s5p_jpeg_device_run                | jpeg-core.c         |      2032 |
| hantro_postproc_ops   | enum_framesizes | hanto_postproc_enum_framesizes | hantro_postproc.c |  334 | hantro_postproc_g2_enum_framesizes | hantro_postproc.c   |       157 |
